Time Interval,Reserve Type,Type of Product,Source,Up price,Down Price,Currency,Price type
02.01.2024 23:00 - 03.01.2024 00:00 (CET/CEST),mFRR,Not Specified,Not specified,69.0,59.16,EUR,MARGINAL
03.01.2024 00:00 - 03.01.2024 01:00 (CET/CEST),mFRR,Not Specified,Not specified,67.0,58.0,EUR,MARGINAL
03.01.2024 01:00 - 03.01.2024 02:00 (CET/CEST),mFRR,Not Specified,Not specified,58.39,58.39,EUR,MARGINAL
03.01.2024 02:00 - 03.01.2024 03:00 (CET/CEST),mFRR,Not Specified,Not specified,59.0,58.41,EUR,MARGINAL
03.01.2024 03:00 - 03.01.2024 04:00 (CET/CEST),mFRR,Not Specified,Not specified,59.0,55.84,EUR,MARGINAL
03.01.2024 04:00 - 03.01.2024 05:00 (CET/CEST),mFRR,Not Specified,Not specified,59.0,54.53,EUR,MARGINAL
03.01.2024 05:00 - 03.01.2024 06:00 (CET/CEST),mFRR,Not Specified,Not specified,59.0,58.41,EUR,MARGINAL
03.01.2024 06:00 - 03.01.2024 07:00 (CET/CEST),mFRR,Not Specified,Not specified,62.7,62.7,EUR,MARGINAL
03.01.2024 07:00 - 03.01.2024 08:00 (CET/CEST),mFRR,Not Specified,Not specified,74.0,64.81,EUR,MARGINAL
03.01.2024 08:00 - 03.01.2024 09:00 (CET/CEST),mFRR,Not Specified,Not specified,74.0,65.6,EUR,MARGINAL
03.01.2024 09:00 - 03.01.2024 10:00 (CET/CEST),mFRR,Not Specified,Not specified,74.0,65.94,EUR,MARGINAL
03.01.2024 10:00 - 03.01.2024 11:00 (CET/CEST),mFRR,Not Specified,Not specified,74.0,66.42,EUR,MARGINAL
03.01.2024 11:00 - 03.01.2024 12:00 (CET/CEST),mFRR,Not Specified,Not specified,74.0,65.93,EUR,MARGINAL
03.01.2024 12:00 - 03.01.2024 13:00 (CET/CEST),mFRR,Not Specified,Not specified,66.397,65.6,EUR,MARGINAL
03.01.2024 13:00 - 03.01.2024 14:00 (CET/CEST),mFRR,Not Specified,Not specified,71.0,65.43,EUR,MARGINAL
03.01.2024 14:00 - 03.01.2024 15:00 (CET/CEST),mFRR,Not Specified,Not specified,73.0,65.76,EUR,MARGINAL
03.01.2024 15:00 - 03.01.2024 16:00 (CET/CEST),mFRR,Not Specified,Not specified,78.0,69.38,EUR,MARGINAL
03.01.2024 16:00 - 03.01.2024 17:00 (CET/CEST),mFRR,Not Specified,Not specified,84.0,73.59,EUR,MARGINAL
03.01.2024 17:00 - 03.01.2024 18:00 (CET/CEST),mFRR,Not Specified,Not specified,91.0,82.28,EUR,MARGINAL
03.01.2024 18:00 - 03.01.2024 19:00 (CET/CEST),mFRR,Not Specified,Not specified,91.0,82.97,EUR,MARGINAL
03.01.2024 19:00 - 03.01.2024 20:00 (CET/CEST),mFRR,Not Specified,Not specified,91.0,79.03,EUR,MARGINAL
03.01.2024 20:00 - 03.01.2024 21:00 (CET/CEST),mFRR,Not Specified,Not specified,85.0,73.23,EUR,MARGINAL
03.01.2024 21:00 - 03.01.2024 22:00 (CET/CEST),mFRR,Not Specified,Not specified,69.2,69.2,EUR,MARGINAL
03.01.2024 22:00 - 03.01.2024 23:00 (CET/CEST),mFRR,Not Specified,Not specified,75.0,65.42,EUR,MARGINAL
03.01.2024 23:00 - 04.01.2024 00:00 (CET/CEST),mFRR,Not Specified,Not specified,73.78,63.79,EUR,MARGINAL
04.01.2024 00:00 - 04.01.2024 01:00 (CET/CEST),mFRR,Not Specified,Not specified,64.03,64.03,EUR,MARGINAL
04.01.2024 01:00 - 04.01.2024 02:00 (CET/CEST),mFRR,Not Specified,Not specified,63.13,63.13,EUR,MARGINAL
04.01.2024 02:00 - 04.01.2024 03:00 (CET/CEST),mFRR,Not Specified,Not specified,62.61,62.61,EUR,MARGINAL
04.01.2024 03:00 - 04.01.2024 04:00 (CET/CEST),mFRR,Not Specified,Not specified,62.41,62.41,EUR,MARGINAL
04.01.2024 04:00 - 04.01.2024 05:00 (CET/CEST),mFRR,Not Specified,Not specified,62.08,54.0,EUR,MARGINAL
04.01.2024 05:00 - 04.01.2024 06:00 (CET/CEST),mFRR,Not Specified,Not specified,64.47,53.65,EUR,MARGINAL
04.01.2024 06:00 - 04.01.2024 07:00 (CET/CEST),mFRR,Not Specified,Not specified,72.65,58.0,EUR,MARGINAL
04.01.2024 07:00 - 04.01.2024 08:00 (CET/CEST),mFRR,Not Specified,Not specified,92.0,70.5,EUR,MARGINAL
04.01.2024 08:00 - 04.01.2024 09:00 (CET/CEST),mFRR,Not Specified,Not specified,92.0,91.47,EUR,MARGINAL
04.01.2024 09:00 - 04.01.2024 10:00 (CET/CEST),mFRR,Not Specified,Not specified,94.2,74.5,EUR,MARGINAL
04.01.2024 10:00 - 04.01.2024 11:00 (CET/CEST),mFRR,Not Specified,Not specified,94.82,79.0,EUR,MARGINAL
04.01.2024 11:00 - 04.01.2024 12:00 (CET/CEST),mFRR,Not Specified,Not specified,94.74,90.4,EUR,MARGINAL
04.01.2024 12:00 - 04.01.2024 13:00 (CET/CEST),mFRR,Not Specified,Not specified,86.69,76.0,EUR,MARGINAL
04.01.2024 13:00 - 04.01.2024 14:00 (CET/CEST),mFRR,Not Specified,Not specified,85.96,76.0,EUR,MARGINAL
04.01.2024 14:00 - 04.01.2024 15:00 (CET/CEST),mFRR,Not Specified,Not specified,95.0,79.0,EUR,MARGINAL
04.01.2024 15:00 - 04.01.2024 16:00 (CET/CEST),mFRR,Not Specified,Not specified,99.0,98.62,EUR,MARGINAL
04.01.2024 16:00 - 04.01.2024 17:00 (CET/CEST),mFRR,Not Specified,Not specified,106.0,105.73,EUR,MARGINAL
04.01.2024 17:00 - 04.01.2024 18:00 (CET/CEST),mFRR,Not Specified,Not specified,134.0,133.23,EUR,MARGINAL
04.01.2024 18:00 - 04.01.2024 19:00 (CET/CEST),mFRR,Not Specified,Not specified,145.0,144.65,EUR,MARGINAL
04.01.2024 19:00 - 04.01.2024 20:00 (CET/CEST),mFRR,Not Specified,Not specified,125.0,125.0,EUR,MARGINAL
04.01.2024 20:00 - 04.01.2024 21:00 (CET/CEST),mFRR,Not Specified,Not specified,104.0,103.59,EUR,MARGINAL
04.01.2024 21:00 - 04.01.2024 22:00 (CET/CEST),mFRR,Not Specified,Not specified,100.01,100.01,EUR,MARGINAL
