Time Interval,Reserve Type,Type of Product,Source,Up price,Down Price,Currency,Price type
24.01.2024 12:00 - 24.01.2024 13:00 (CET/CEST),mFRR,Not Specified,Not specified,53.78,52.59,EUR,MARGINAL
24.01.2024 13:00 - 24.01.2024 14:00 (CET/CEST),mFRR,Not Specified,Not specified,53.5,41.0,EUR,MARGINAL
24.01.2024 14:00 - 24.01.2024 15:00 (CET/CEST),mFRR,Not Specified,Not specified,50.51,41.0,EUR,MARGINAL
24.01.2024 15:00 - 24.01.2024 16:00 (CET/CEST),mFRR,Not Specified,Not specified,51.54,49.0,EUR,MARGINAL
24.01.2024 16:00 - 24.01.2024 17:00 (CET/CEST),mFRR,Not Specified,Not specified,60.0,52.96,EUR,MARGINAL
24.01.2024 17:00 - 24.01.2024 18:00 (CET/CEST),mFRR,Not Specified,Not specified,66.5,55.41,EUR,MARGINAL
24.01.2024 18:00 - 24.01.2024 19:00 (CET/CEST),mFRR,Not Specified,Not specified,65.0,54.92,EUR,MARGINAL
24.01.2024 19:00 - 24.01.2024 20:00 (CET/CEST),mFRR,Not Specified,Not specified,64.0,51.81,EUR,MARGINAL
24.01.2024 20:00 - 24.01.2024 21:00 (CET/CEST),mFRR,Not Specified,Not specified,63.0,50.04,EUR,MARGINAL
24.01.2024 21:00 - 24.01.2024 22:00 (CET/CEST),mFRR,Not Specified,Not specified,60.0,50.12,EUR,MARGINAL
24.01.2024 22:00 - 24.01.2024 23:00 (CET/CEST),mFRR,Not Specified,Not specified,60.0,49.9,EUR,MARGINAL
24.01.2024 23:00 - 25.01.2024 00:00 (CET/CEST),mFRR,Not Specified,Not specified,56.0,47.52,EUR,MARGINAL
25.01.2024 00:00 - 25.01.2024 01:00 (CET/CEST),mFRR,Not Specified,Not specified,54.5,48.68,EUR,MARGINAL
25.01.2024 01:00 - 25.01.2024 02:00 (CET/CEST),mFRR,Not Specified,Not specified,51.0,40.0,EUR,MARGINAL
25.01.2024 02:00 - 25.01.2024 03:00 (CET/CEST),mFRR,Not Specified,Not specified,44.94,35.0,EUR,MARGINAL
25.01.2024 03:00 - 25.01.2024 04:00 (CET/CEST),mFRR,Not Specified,Not specified,48.66,35.0,EUR,MARGINAL
25.01.2024 04:00 - 25.01.2024 05:00 (CET/CEST),mFRR,Not Specified,Not specified,50.74,44.0,EUR,MARGINAL
25.01.2024 05:00 - 25.01.2024 06:00 (CET/CEST),mFRR,Not Specified,Not specified,53.13,53.13,EUR,MARGINAL
25.01.2024 06:00 - 25.01.2024 07:00 (CET/CEST),mFRR,Not Specified,Not specified,59.39,53.5,EUR,MARGINAL
25.01.2024 07:00 - 25.01.2024 08:00 (CET/CEST),mFRR,Not Specified,Not specified,66.05,59.0,EUR,MARGINAL
25.01.2024 08:00 - 25.01.2024 09:00 (CET/CEST),mFRR,Not Specified,Not specified,89.02,62.0,EUR,MARGINAL
25.01.2024 09:00 - 25.01.2024 10:00 (CET/CEST),mFRR,Not Specified,Not specified,85.25,62.0,EUR,MARGINAL
25.01.2024 10:00 - 25.01.2024 11:00 (CET/CEST),mFRR,Not Specified,Not specified,81.35,60.0,EUR,MARGINAL
25.01.2024 11:00 - 25.01.2024 12:00 (CET/CEST),mFRR,Not Specified,Not specified,76.22,56.0,EUR,MARGINAL
25.01.2024 12:00 - 25.01.2024 13:00 (CET/CEST),mFRR,Not Specified,Not specified,72.63,55.0,EUR,MARGINAL
25.01.2024 13:00 - 25.01.2024 14:00 (CET/CEST),mFRR,Not Specified,Not specified,75.44,55.0,EUR,MARGINAL
25.01.2024 14:00 - 25.01.2024 15:00 (CET/CEST),mFRR,Not Specified,Not specified,79.56,55.0,EUR,MARGINAL
25.01.2024 15:00 - 25.01.2024 16:00 (CET/CEST),mFRR,Not Specified,Not specified,89.1,56.0,EUR,MARGINAL
25.01.2024 16:00 - 25.01.2024 17:00 (CET/CEST),mFRR,Not Specified,Not specified,81.53,58.0,EUR,MARGINAL
25.01.2024 17:00 - 25.01.2024 18:00 (CET/CEST),mFRR,Not Specified,Not specified,119.56,59.5,EUR,MARGINAL
25.01.2024 18:00 - 25.01.2024 19:00 (CET/CEST),mFRR,Not Specified,Not specified,111.96,58.11,EUR,MARGINAL
25.01.2024 19:00 - 25.01.2024 20:00 (CET/CEST),mFRR,Not Specified,Not specified,95.73,56.0,EUR,MARGINAL
25.01.2024 20:00 - 25.01.2024 21:00 (CET/CEST),mFRR,Not Specified,Not specified,88.24,57.0,EUR,MARGINAL
25.01.2024 21:00 - 25.01.2024 22:00 (CET/CEST),mFRR,Not Specified,Not specified,83.64,59.0,EUR,MARGINAL
25.01.2024 22:00 - 25.01.2024 23:00 (CET/CEST),mFRR,Not Specified,Not specified,77.93,59.5,EUR,MARGINAL
25.01.2024 23:00 - 26.01.2024 00:00 (CET/CEST),mFRR,Not Specified,Not specified,72.83,55.0,EUR,MARGINAL
26.01.2024 00:00 - 26.01.2024 01:00 (CET/CEST),mFRR,Not Specified,Not specified,62.8,55.0,EUR,MARGINAL
26.01.2024 01:00 - 26.01.2024 02:00 (CET/CEST),mFRR,Not Specified,Not specified,60.82,60.82,EUR,MARGINAL
26.01.2024 02:00 - 26.01.2024 03:00 (CET/CEST),mFRR,Not Specified,Not specified,58.49,58.49,EUR,MARGINAL
26.01.2024 03:00 - 26.01.2024 04:00 (CET/CEST),mFRR,Not Specified,Not specified,55.94,55.94,EUR,MARGINAL
26.01.2024 04:00 - 26.01.2024 05:00 (CET/CEST),mFRR,Not Specified,Not specified,54.75,54.75,EUR,MARGINAL
26.01.2024 05:00 - 26.01.2024 06:00 (CET/CEST),mFRR,Not Specified,Not specified,52.16,52.16,EUR,MARGINAL
26.01.2024 06:00 - 26.01.2024 07:00 (CET/CEST),mFRR,Not Specified,Not specified,57.95,57.95,EUR,MARGINAL
26.01.2024 07:00 - 26.01.2024 08:00 (CET/CEST),mFRR,Not Specified,Not specified,72.0,62.97,EUR,MARGINAL
26.01.2024 08:00 - 26.01.2024 09:00 (CET/CEST),mFRR,Not Specified,Not specified,74.186,64.94,EUR,MARGINAL
26.01.2024 09:00 - 26.01.2024 10:00 (CET/CEST),mFRR,Not Specified,Not specified,70.5,63.8,EUR,MARGINAL
26.01.2024 10:00 - 26.01.2024 11:00 (CET/CEST),mFRR,Not Specified,Not specified,65.0,54.323,EUR,MARGINAL
26.01.2024 11:00 - 26.01.2024 12:00 (CET/CEST),mFRR,Not Specified,Not specified,58.74,53.652,EUR,MARGINAL
26.01.2024 12:00 - 26.01.2024 13:00 (CET/CEST),mFRR,Not Specified,Not specified,63.0,54.47,EUR,MARGINAL
26.01.2024 13:00 - 26.01.2024 14:00 (CET/CEST),mFRR,Not Specified,Not specified,63.0,52.18,EUR,MARGINAL
26.01.2024 14:00 - 26.01.2024 15:00 (CET/CEST),mFRR,Not Specified,Not specified,55.0,41.0,EUR,MARGINAL
26.01.2024 15:00 - 26.01.2024 16:00 (CET/CEST),mFRR,Not Specified,Not specified,52.78,41.0,EUR,MARGINAL
26.01.2024 16:00 - 26.01.2024 17:00 (CET/CEST),mFRR,Not Specified,Not specified,54.86,54.86,EUR,MARGINAL
26.01.2024 17:00 - 26.01.2024 18:00 (CET/CEST),mFRR,Not Specified,Not specified,66.0,57.37,EUR,MARGINAL
26.01.2024 18:00 - 26.01.2024 19:00 (CET/CEST),mFRR,Not Specified,Not specified,66.0,56.93,EUR,MARGINAL
26.01.2024 19:00 - 26.01.2024 20:00 (CET/CEST),mFRR,Not Specified,Not specified,64.0,56.16,EUR,MARGINAL
26.01.2024 20:00 - 26.01.2024 21:00 (CET/CEST),mFRR,Not Specified,Not specified,55.94,55.94,EUR,MARGINAL
26.01.2024 21:00 - 26.01.2024 22:00 (CET/CEST),mFRR,Not Specified,Not specified,55.97,55.97,EUR,MARGINAL
26.01.2024 22:00 - 26.01.2024 23:00 (CET/CEST),mFRR,Not Specified,Not specified,56.02,49.0,EUR,MARGINAL
26.01.2024 23:00 - 27.01.2024 00:00 (CET/CEST),mFRR,Not Specified,Not specified,55.31,49.0,EUR,MARGINAL
27.01.2024 00:00 - 27.01.2024 01:00 (CET/CEST),mFRR,Not Specified,Not specified,56.07,56.07,EUR,MARGINAL
27.01.2024 01:00 - 27.01.2024 02:00 (CET/CEST),mFRR,Not Specified,Not specified,56.57,56.57,EUR,MARGINAL
27.01.2024 02:00 - 27.01.2024 03:00 (CET/CEST),mFRR,Not Specified,Not specified,60.0,56.47,EUR,MARGINAL
27.01.2024 03:00 - 27.01.2024 04:00 (CET/CEST),mFRR,Not Specified,Not specified,60.0,56.05,EUR,MARGINAL
27.01.2024 04:00 - 27.01.2024 05:00 (CET/CEST),mFRR,Not Specified,Not specified,60.0,55.74,EUR,MARGINAL
27.01.2024 05:00 - 27.01.2024 06:00 (CET/CEST),mFRR,Not Specified,Not specified,60.0,56.83,EUR,MARGINAL
27.01.2024 06:00 - 27.01.2024 07:00 (CET/CEST),mFRR,Not Specified,Not specified,57.24,50.5,EUR,MARGINAL
27.01.2024 07:00 - 27.01.2024 08:00 (CET/CEST),mFRR,Not Specified,Not specified,57.86,50.5,EUR,MARGINAL
27.01.2024 08:00 - 27.01.2024 09:00 (CET/CEST),mFRR,Not Specified,Not specified,58.13,50.5,EUR,MARGINAL
27.01.2024 09:00 - 27.01.2024 10:00 (CET/CEST),mFRR,Not Specified,Not specified,58.5,50.5,EUR,MARGINAL
27.01.2024 10:00 - 27.01.2024 11:00 (CET/CEST),mFRR,Not Specified,Not specified,58.2,53.653,EUR,MARGINAL
27.01.2024 11:00 - 27.01.2024 12:00 (CET/CEST),mFRR,Not Specified,Not specified,56.61,56.61,EUR,MARGINAL
27.01.2024 12:00 - 27.01.2024 13:00 (CET/CEST),mFRR,Not Specified,Not specified,55.84,55.84,EUR,MARGINAL
27.01.2024 13:00 - 27.01.2024 14:00 (CET/CEST),mFRR,Not Specified,Not specified,55.48,55.48,EUR,MARGINAL
27.01.2024 14:00 - 27.01.2024 15:00 (CET/CEST),mFRR,Not Specified,Not specified,57.54,57.54,EUR,MARGINAL
27.01.2024 15:00 - 27.01.2024 16:00 (CET/CEST),mFRR,Not Specified,Not specified,57.95,57.95,EUR,MARGINAL
27.01.2024 16:00 - 27.01.2024 17:00 (CET/CEST),mFRR,Not Specified,Not specified,58.93,58.93,EUR,MARGINAL
27.01.2024 17:00 - 27.01.2024 18:00 (CET/CEST),mFRR,Not Specified,Not specified,59.96,59.96,EUR,MARGINAL
27.01.2024 18:00 - 27.01.2024 19:00 (CET/CEST),mFRR,Not Specified,Not specified,59.54,53.653,EUR,MARGINAL
27.01.2024 19:00 - 27.01.2024 20:00 (CET/CEST),mFRR,Not Specified,Not specified,59.07,49.0,EUR,MARGINAL
27.01.2024 20:00 - 27.01.2024 21:00 (CET/CEST),mFRR,Not Specified,Not specified,0.0,0.0,EUR,MARGINAL
27.01.2024 21:00 - 27.01.2024 22:00 (CET/CEST),mFRR,Not Specified,Not specified,57.85,45.0,EUR,MARGINAL
27.01.2024 22:00 - 27.01.2024 23:00 (CET/CEST),mFRR,Not Specified,Not specified,57.73,45.0,EUR,MARGINAL
27.01.2024 23:00 - 28.01.2024 00:00 (CET/CEST),mFRR,Not Specified,Not specified,57.61,45.0,EUR,MARGINAL
28.01.2024 00:00 - 28.01.2024 01:00 (CET/CEST),mFRR,Not Specified,Not specified,57.52,48.5,EUR,MARGINAL
28.01.2024 01:00 - 28.01.2024 02:00 (CET/CEST),mFRR,Not Specified,Not specified,57.09,41.0,EUR,MARGINAL
28.01.2024 02:00 - 28.01.2024 03:00 (CET/CEST),mFRR,Not Specified,Not specified,56.57,41.5,EUR,MARGINAL
28.01.2024 03:00 - 28.01.2024 04:00 (CET/CEST),mFRR,Not Specified,Not specified,56.05,41.5,EUR,MARGINAL
28.01.2024 04:00 - 28.01.2024 05:00 (CET/CEST),mFRR,Not Specified,Not specified,56.2,49.5,EUR,MARGINAL
28.01.2024 05:00 - 28.01.2024 06:00 (CET/CEST),mFRR,Not Specified,Not specified,55.96,55.96,EUR,MARGINAL
28.01.2024 06:00 - 28.01.2024 07:00 (CET/CEST),mFRR,Not Specified,Not specified,56.05,46.5,EUR,MARGINAL
28.01.2024 07:00 - 28.01.2024 08:00 (CET/CEST),mFRR,Not Specified,Not specified,56.79,45.5,EUR,MARGINAL
28.01.2024 08:00 - 28.01.2024 09:00 (CET/CEST),mFRR,Not Specified,Not specified,56.26,39.0,EUR,MARGINAL
28.01.2024 09:00 - 28.01.2024 10:00 (CET/CEST),mFRR,Not Specified,Not specified,54.9,39.0,EUR,MARGINAL
28.01.2024 10:00 - 28.01.2024 11:00 (CET/CEST),mFRR,Not Specified,Not specified,51.45,32.5,EUR,MARGINAL
28.01.2024 11:00 - 28.01.2024 12:00 (CET/CEST),mFRR,Not Specified,Not specified,48.56,32.5,EUR,MARGINAL
28.01.2024 12:00 - 28.01.2024 13:00 (CET/CEST),mFRR,Not Specified,Not specified,42.91,6.57,EUR,MARGINAL
28.01.2024 13:00 - 28.01.2024 14:00 (CET/CEST),mFRR,Not Specified,Not specified,45.26,6.57,EUR,MARGINAL
28.01.2024 14:00 - 28.01.2024 15:00 (CET/CEST),mFRR,Not Specified,Not specified,51.93,51.93,EUR,MARGINAL
28.01.2024 15:00 - 28.01.2024 16:00 (CET/CEST),mFRR,Not Specified,Not specified,55.13,55.13,EUR,MARGINAL
28.01.2024 16:00 - 28.01.2024 17:00 (CET/CEST),mFRR,Not Specified,Not specified,57.93,57.93,EUR,MARGINAL
28.01.2024 17:00 - 28.01.2024 18:00 (CET/CEST),mFRR,Not Specified,Not specified,57.86,57.86,EUR,MARGINAL
28.01.2024 18:00 - 28.01.2024 19:00 (CET/CEST),mFRR,Not Specified,Not specified,57.33,57.33,EUR,MARGINAL
28.01.2024 19:00 - 28.01.2024 20:00 (CET/CEST),mFRR,Not Specified,Not specified,56.61,56.61,EUR,MARGINAL
28.01.2024 20:00 - 28.01.2024 21:00 (CET/CEST),mFRR,Not Specified,Not specified,55.96,55.96,EUR,MARGINAL
28.01.2024 21:00 - 28.01.2024 22:00 (CET/CEST),mFRR,Not Specified,Not specified,55.39,55.39,EUR,MARGINAL
28.01.2024 22:00 - 28.01.2024 23:00 (CET/CEST),mFRR,Not Specified,Not specified,55.31,55.31,EUR,MARGINAL
28.01.2024 23:00 - 29.01.2024 00:00 (CET/CEST),mFRR,Not Specified,Not specified,54.26,54.26,EUR,MARGINAL
29.01.2024 00:00 - 29.01.2024 01:00 (CET/CEST),mFRR,Not Specified,Not specified,50.09,50.09,EUR,MARGINAL
29.01.2024 01:00 - 29.01.2024 02:00 (CET/CEST),mFRR,Not Specified,Not specified,48.77,48.77,EUR,MARGINAL
29.01.2024 02:00 - 29.01.2024 03:00 (CET/CEST),mFRR,Not Specified,Not specified,49.55,49.55,EUR,MARGINAL
29.01.2024 03:00 - 29.01.2024 04:00 (CET/CEST),mFRR,Not Specified,Not specified,49.56,49.56,EUR,MARGINAL
29.01.2024 04:00 - 29.01.2024 05:00 (CET/CEST),mFRR,Not Specified,Not specified,52.65,46.0,EUR,MARGINAL
29.01.2024 05:00 - 29.01.2024 06:00 (CET/CEST),mFRR,Not Specified,Not specified,55.42,46.0,EUR,MARGINAL
29.01.2024 06:00 - 29.01.2024 07:00 (CET/CEST),mFRR,Not Specified,Not specified,56.66,44.0,EUR,MARGINAL
29.01.2024 07:00 - 29.01.2024 08:00 (CET/CEST),mFRR,Not Specified,Not specified,59.09,50.0,EUR,MARGINAL
29.01.2024 08:00 - 29.01.2024 09:00 (CET/CEST),mFRR,Not Specified,Not specified,61.78,50.0,EUR,MARGINAL
29.01.2024 09:00 - 29.01.2024 10:00 (CET/CEST),mFRR,Not Specified,Not specified,61.68,48.0,EUR,MARGINAL
29.01.2024 10:00 - 29.01.2024 11:00 (CET/CEST),mFRR,Not Specified,Not specified,61.8,48.0,EUR,MARGINAL
29.01.2024 11:00 - 29.01.2024 12:00 (CET/CEST),mFRR,Not Specified,Not specified,61.89,50.0,EUR,MARGINAL
29.01.2024 12:00 - 29.01.2024 13:00 (CET/CEST),mFRR,Not Specified,Not specified,62.61,54.0,EUR,MARGINAL
29.01.2024 13:00 - 29.01.2024 14:00 (CET/CEST),mFRR,Not Specified,Not specified,62.92,55.0,EUR,MARGINAL
29.01.2024 14:00 - 29.01.2024 15:00 (CET/CEST),mFRR,Not Specified,Not specified,63.9,55.0,EUR,MARGINAL
29.01.2024 15:00 - 29.01.2024 16:00 (CET/CEST),mFRR,Not Specified,Not specified,88.97,60.0,EUR,MARGINAL
29.01.2024 16:00 - 29.01.2024 17:00 (CET/CEST),mFRR,Not Specified,Not specified,105.07,56.0,EUR,MARGINAL
29.01.2024 17:00 - 29.01.2024 18:00 (CET/CEST),mFRR,Not Specified,Not specified,123.47,61.0,EUR,MARGINAL
29.01.2024 18:00 - 29.01.2024 19:00 (CET/CEST),mFRR,Not Specified,Not specified,113.66,57.0,EUR,MARGINAL
29.01.2024 19:00 - 29.01.2024 20:00 (CET/CEST),mFRR,Not Specified,Not specified,104.19,56.0,EUR,MARGINAL
29.01.2024 20:00 - 29.01.2024 21:00 (CET/CEST),mFRR,Not Specified,Not specified,89.13,58.5,EUR,MARGINAL
29.01.2024 21:00 - 29.01.2024 22:00 (CET/CEST),mFRR,Not Specified,Not specified,81.83,58.51,EUR,MARGINAL
29.01.2024 22:00 - 29.01.2024 23:00 (CET/CEST),mFRR,Not Specified,Not specified,64.4,58.37,EUR,MARGINAL
29.01.2024 23:00 - 30.01.2024 00:00 (CET/CEST),mFRR,Not Specified,Not specified,62.19,55.0,EUR,MARGINAL
30.01.2024 00:00 - 30.01.2024 01:00 (CET/CEST),mFRR,Not Specified,Not specified,60.12,55.0,EUR,MARGINAL
30.01.2024 01:00 - 30.01.2024 02:00 (CET/CEST),mFRR,Not Specified,Not specified,59.6,55.0,EUR,MARGINAL
30.01.2024 02:00 - 30.01.2024 03:00 (CET/CEST),mFRR,Not Specified,Not specified,59.29,59.29,EUR,MARGINAL
30.01.2024 03:00 - 30.01.2024 04:00 (CET/CEST),mFRR,Not Specified,Not specified,59.16,59.16,EUR,MARGINAL
30.01.2024 04:00 - 30.01.2024 05:00 (CET/CEST),mFRR,Not Specified,Not specified,59.27,55.0,EUR,MARGINAL
30.01.2024 05:00 - 30.01.2024 06:00 (CET/CEST),mFRR,Not Specified,Not specified,59.95,55.0,EUR,MARGINAL
30.01.2024 06:00 - 30.01.2024 07:00 (CET/CEST),mFRR,Not Specified,Not specified,61.95,55.0,EUR,MARGINAL
30.01.2024 07:00 - 30.01.2024 08:00 (CET/CEST),mFRR,Not Specified,Not specified,70.69,70.69,EUR,MARGINAL
30.01.2024 08:00 - 30.01.2024 09:00 (CET/CEST),mFRR,Not Specified,Not specified,83.51,83.51,EUR,MARGINAL
30.01.2024 09:00 - 30.01.2024 10:00 (CET/CEST),mFRR,Not Specified,Not specified,82.22,82.22,EUR,MARGINAL
30.01.2024 10:00 - 30.01.2024 11:00 (CET/CEST),mFRR,Not Specified,Not specified,74.68,74.68,EUR,MARGINAL
30.01.2024 11:00 - 30.01.2024 12:00 (CET/CEST),mFRR,Not Specified,Not specified,80.5,64.83,EUR,MARGINAL
30.01.2024 12:00 - 30.01.2024 13:00 (CET/CEST),mFRR,Not Specified,Not specified,72.5,63.81,EUR,MARGINAL
30.01.2024 13:00 - 30.01.2024 14:00 (CET/CEST),mFRR,Not Specified,Not specified,75.0,63.69,EUR,MARGINAL
30.01.2024 14:00 - 30.01.2024 15:00 (CET/CEST),mFRR,Not Specified,Not specified,74.5,64.02,EUR,MARGINAL
30.01.2024 15:00 - 30.01.2024 16:00 (CET/CEST),mFRR,Not Specified,Not specified,74.0,62.64,EUR,MARGINAL
30.01.2024 16:00 - 30.01.2024 17:00 (CET/CEST),mFRR,Not Specified,Not specified,74.0,63.73,EUR,MARGINAL
30.01.2024 17:00 - 30.01.2024 18:00 (CET/CEST),mFRR,Not Specified,Not specified,77.0,69.82,EUR,MARGINAL
30.01.2024 18:00 - 30.01.2024 19:00 (CET/CEST),mFRR,Not Specified,Not specified,76.0,61.42,EUR,MARGINAL
30.01.2024 19:00 - 30.01.2024 20:00 (CET/CEST),mFRR,Not Specified,Not specified,72.5,58.45,EUR,MARGINAL
30.01.2024 20:00 - 30.01.2024 21:00 (CET/CEST),mFRR,Not Specified,Not specified,66.0,56.72,EUR,MARGINAL
30.01.2024 21:00 - 30.01.2024 22:00 (CET/CEST),mFRR,Not Specified,Not specified,55.53,55.53,EUR,MARGINAL
30.01.2024 22:00 - 30.01.2024 23:00 (CET/CEST),mFRR,Not Specified,Not specified,55.16,55.16,EUR,MARGINAL
30.01.2024 23:00 - 31.01.2024 00:00 (CET/CEST),mFRR,Not Specified,Not specified,54.84,54.84,EUR,MARGINAL
31.01.2024 00:00 - 31.01.2024 01:00 (CET/CEST),mFRR,Not Specified,Not specified,53.15,53.15,EUR,MARGINAL
31.01.2024 01:00 - 31.01.2024 02:00 (CET/CEST),mFRR,Not Specified,Not specified,52.92,52.92,EUR,MARGINAL
31.01.2024 02:00 - 31.01.2024 03:00 (CET/CEST),mFRR,Not Specified,Not specified,52.79,52.79,EUR,MARGINAL
31.01.2024 03:00 - 31.01.2024 04:00 (CET/CEST),mFRR,Not Specified,Not specified,52.59,52.59,EUR,MARGINAL
31.01.2024 04:00 - 31.01.2024 05:00 (CET/CEST),mFRR,Not Specified,Not specified,52.93,52.93,EUR,MARGINAL
31.01.2024 05:00 - 31.01.2024 06:00 (CET/CEST),mFRR,Not Specified,Not specified,53.97,53.97,EUR,MARGINAL
31.01.2024 06:00 - 31.01.2024 07:00 (CET/CEST),mFRR,Not Specified,Not specified,0.0,0.0,EUR,MARGINAL
31.01.2024 07:00 - 31.01.2024 08:00 (CET/CEST),mFRR,Not Specified,Not specified,56.91,56.91,EUR,MARGINAL
31.01.2024 08:00 - 31.01.2024 09:00 (CET/CEST),mFRR,Not Specified,Not specified,57.9,57.9,EUR,MARGINAL
31.01.2024 09:00 - 31.01.2024 10:00 (CET/CEST),mFRR,Not Specified,Not specified,56.6,48.0,EUR,MARGINAL
31.01.2024 10:00 - 31.01.2024 11:00 (CET/CEST),mFRR,Not Specified,Not specified,55.66,48.0,EUR,MARGINAL
31.01.2024 11:00 - 31.01.2024 12:00 (CET/CEST),mFRR,Not Specified,Not specified,54.62,50.0,EUR,MARGINAL
31.01.2024 12:00 - 31.01.2024 13:00 (CET/CEST),mFRR,Not Specified,Not specified,54.08,50.0,EUR,MARGINAL
31.01.2024 13:00 - 31.01.2024 14:00 (CET/CEST),mFRR,Not Specified,Not specified,53.24,53.24,EUR,MARGINAL
31.01.2024 14:00 - 31.01.2024 15:00 (CET/CEST),mFRR,Not Specified,Not specified,53.15,53.15,EUR,MARGINAL
31.01.2024 15:00 - 31.01.2024 16:00 (CET/CEST),mFRR,Not Specified,Not specified,52.85,52.85,EUR,MARGINAL
31.01.2024 16:00 - 31.01.2024 17:00 (CET/CEST),mFRR,Not Specified,Not specified,55.0,53.0,EUR,MARGINAL
31.01.2024 17:00 - 31.01.2024 18:00 (CET/CEST),mFRR,Not Specified,Not specified,62.0,52.8,EUR,MARGINAL
31.01.2024 18:00 - 31.01.2024 19:00 (CET/CEST),mFRR,Not Specified,Not specified,58.0,52.57,EUR,MARGINAL
31.01.2024 19:00 - 31.01.2024 20:00 (CET/CEST),mFRR,Not Specified,Not specified,58.0,51.96,EUR,MARGINAL
31.01.2024 20:00 - 31.01.2024 21:00 (CET/CEST),mFRR,Not Specified,Not specified,58.0,51.92,EUR,MARGINAL
31.01.2024 21:00 - 31.01.2024 22:00 (CET/CEST),mFRR,Not Specified,Not specified,57.0,51.97,EUR,MARGINAL
31.01.2024 22:00 - 31.01.2024 23:00 (CET/CEST),mFRR,Not Specified,Not specified,55.0,49.89,EUR,MARGINAL
31.01.2024 23:00 - 01.02.2024 00:00 (CET/CEST),mFRR,Not Specified,Not specified,56.0,44.95,EUR,MARGINAL
01.02.2024 00:00 - 01.02.2024 01:00 (CET/CEST),mFRR,Not Specified,Not specified,56.0,47.5,EUR,MARGINAL
01.02.2024 01:00 - 01.02.2024 02:00 (CET/CEST),mFRR,Not Specified,Not specified,52.5,42.44,EUR,MARGINAL
01.02.2024 02:00 - 01.02.2024 03:00 (CET/CEST),mFRR,Not Specified,Not specified,52.5,43.51,EUR,MARGINAL
01.02.2024 03:00 - 01.02.2024 04:00 (CET/CEST),mFRR,Not Specified,Not specified,52.5,44.43,EUR,MARGINAL
01.02.2024 04:00 - 01.02.2024 05:00 (CET/CEST),mFRR,Not Specified,Not specified,48.22,48.22,EUR,MARGINAL
01.02.2024 05:00 - 01.02.2024 06:00 (CET/CEST),mFRR,Not Specified,Not specified,50.86,50.86,EUR,MARGINAL
01.02.2024 06:00 - 01.02.2024 07:00 (CET/CEST),mFRR,Not Specified,Not specified,51.85,51.85,EUR,MARGINAL
01.02.2024 07:00 - 01.02.2024 08:00 (CET/CEST),mFRR,Not Specified,Not specified,64.0,53.83,EUR,MARGINAL
01.02.2024 08:00 - 01.02.2024 09:00 (CET/CEST),mFRR,Not Specified,Not specified,64.0,54.26,EUR,MARGINAL
01.02.2024 09:00 - 01.02.2024 10:00 (CET/CEST),mFRR,Not Specified,Not specified,62.0,53.68,EUR,MARGINAL
01.02.2024 10:00 - 01.02.2024 11:00 (CET/CEST),mFRR,Not Specified,Not specified,53.03,53.03,EUR,MARGINAL
01.02.2024 11:00 - 01.02.2024 12:00 (CET/CEST),mFRR,Not Specified,Not specified,52.34,52.34,EUR,MARGINAL
01.02.2024 12:00 - 01.02.2024 13:00 (CET/CEST),mFRR,Not Specified,Not specified,52.38,52.38,EUR,MARGINAL
01.02.2024 13:00 - 01.02.2024 14:00 (CET/CEST),mFRR,Not Specified,Not specified,51.93,51.93,EUR,MARGINAL
01.02.2024 14:00 - 01.02.2024 15:00 (CET/CEST),mFRR,Not Specified,Not specified,51.9,51.9,EUR,MARGINAL
01.02.2024 15:00 - 01.02.2024 16:00 (CET/CEST),mFRR,Not Specified,Not specified,52.28,52.28,EUR,MARGINAL
01.02.2024 16:00 - 01.02.2024 17:00 (CET/CEST),mFRR,Not Specified,Not specified,53.42,53.42,EUR,MARGINAL
01.02.2024 17:00 - 01.02.2024 18:00 (CET/CEST),mFRR,Not Specified,Not specified,65.0,54.93,EUR,MARGINAL
01.02.2024 18:00 - 01.02.2024 19:00 (CET/CEST),mFRR,Not Specified,Not specified,65.0,55.07,EUR,MARGINAL
01.02.2024 19:00 - 01.02.2024 20:00 (CET/CEST),mFRR,Not Specified,Not specified,55.06,55.06,EUR,MARGINAL
01.02.2024 20:00 - 01.02.2024 21:00 (CET/CEST),mFRR,Not Specified,Not specified,55.03,55.03,EUR,MARGINAL
01.02.2024 21:00 - 01.02.2024 22:00 (CET/CEST),mFRR,Not Specified,Not specified,54.93,54.93,EUR,MARGINAL
01.02.2024 22:00 - 01.02.2024 23:00 (CET/CEST),mFRR,Not Specified,Not specified,54.79,54.79,EUR,MARGINAL
01.02.2024 23:00 - 02.02.2024 00:00 (CET/CEST),mFRR,Not Specified,Not specified,54.32,54.32,EUR,MARGINAL
02.02.2024 00:00 - 02.02.2024 01:00 (CET/CEST),mFRR,Not Specified,Not specified,55.74,47.0,EUR,MARGINAL
02.02.2024 01:00 - 02.02.2024 02:00 (CET/CEST),mFRR,Not Specified,Not specified,54.96,45.0,EUR,MARGINAL
02.02.2024 02:00 - 02.02.2024 03:00 (CET/CEST),mFRR,Not Specified,Not specified,53.98,44.0,EUR,MARGINAL
02.02.2024 03:00 - 02.02.2024 04:00 (CET/CEST),mFRR,Not Specified,Not specified,52.94,36.221,EUR,MARGINAL
