Date (GMT+1);Non-Renewable;Renewable;Day Ahead Auction (DK1);Day Ahead Auction (DK2)
2024-01-01T00:00+01:00;490.645;3652.345;16.99;29.13
2024-01-01T01:00+01:00;484.565;3405.305;28.14;28.46
2024-01-01T02:00+01:00;497.275;3395.285;26.66;26.66
2024-01-01T03:00+01:00;486.195;3343.325;4.14;24.48
2024-01-01T04:00+01:00;489.21;2965.22;-0.03;24.01
2024-01-01T05:00+01:00;486.39;2946.24;-0.02;15.88
2024-01-01T06:00+01:00;498.935;2850.495;-0.05;15.87
2024-01-01T07:00+01:00;537.6;2925.97;-0.02;22.04
2024-01-01T08:00+01:00;544.185;2778.115;0;25.42
2024-01-01T09:00+01:00;568.37;3185.47;0.08;32.21
2024-01-01T10:00+01:00;645.25;3258.95;41.34;41.34
2024-01-01T11:00+01:00;656.655;3185.745;43.51;43.51
2024-01-01T12:00+01:00;664.86;3013.89;43.02;43.02
2024-01-01T13:00+01:00;671.14;2930.33;44.29;44.29
2024-01-01T14:00+01:00;664.535;2668.095;46.24;46.24
2024-01-01T15:00+01:00;702.795;2842.775;50.61;50.61
2024-01-01T16:00+01:00;835.34;3139.12;59.47;59.47
2024-01-01T17:00+01:00;905.155;3086.765;64.99;64.99
2024-01-01T18:00+01:00;903.595;3117.905;61.74;61.74
2024-01-01T19:00+01:00;889.795;3311.005;61.27;55.07
2024-01-01T20:00+01:00;718.935;3367.015;59.97;48.01
2024-01-01T21:00+01:00;685.23;3446.34;54.92;44.01
2024-01-01T22:00+01:00;677.195;3473.175;47.65;45.2
2024-01-01T23:00+01:00;603.85;3491.79;35.55;38
2024-01-02T00:00+01:00;572.14;3229.23;30.59;38
2024-01-02T01:00+01:00;565.62;2969.14;20.07;33.56
2024-01-02T02:00+01:00;558.665;2887.075;31.03;32.03
2024-01-02T03:00+01:00;545.12;2968.23;18.39;32.29
2024-01-02T04:00+01:00;559.17;3033.64;11.08;36.7
2024-01-02T05:00+01:00;621.255;3490.625;13.78;41.72
2024-01-02T06:00+01:00;672.3;3993.3;47.63;49.18
2024-01-02T07:00+01:00;884.61;4365.82;58.1;58.75
2024-01-02T08:00+01:00;947.48;4776.35;65.67;65.67
2024-01-02T09:00+01:00;955.895;5169.315;64.73;66.11
2024-01-02T10:00+01:00;1067.175;5633.805;68.98;68.98
2024-01-02T11:00+01:00;1088.045;5984.035;73.54;73.54
2024-01-02T12:00+01:00;1091.75;6243.47;78.16;78.16
2024-01-02T13:00+01:00;1081.965;6481.675;78.87;78.87
2024-01-02T14:00+01:00;1126.175;6710.225;79.24;79.24
2024-01-02T15:00+01:00;1239.33;6814.84;79.96;79.96
2024-01-02T16:00+01:00;1260.295;6982.795;81.46;81.46
2024-01-02T17:00+01:00;1200.315;7028.945;80.92;80.92
2024-01-02T18:00+01:00;1145.52;7071.9;74.95;74.95
2024-01-02T19:00+01:00;1004.325;7024.615;63.18;63.18
2024-01-02T20:00+01:00;954.755;7049.645;57.11;57.11
2024-01-02T21:00+01:00;753.435;6920.585;46.89;48.04
2024-01-02T22:00+01:00;711.61;6829.97;40;40
2024-01-02T23:00+01:00;608.51;6700.03;21.81;30
2024-01-03T00:00+01:00;495.94;6699.89;1.04;20
2024-01-03T01:00+01:00;493.36;6561.99;-0.01;15.87
2024-01-03T02:00+01:00;514.61;6548.19;0;15.88
2024-01-03T03:00+01:00;497.31;6300.45;-0.01;15.88
2024-01-03T04:00+01:00;479.905;6070.665;0;15.94
2024-01-03T05:00+01:00;488.35;5986.76;0.02;20.04
2024-01-03T06:00+01:00;513.675;6221.255;1.09;49.44
2024-01-03T07:00+01:00;649.35;6393.08;40.59;53.53
2024-01-03T08:00+01:00;875.965;6574.545;59.61;63.48
2024-01-03T09:00+01:00;812.19;6554.51;60.61;64.99
2024-01-03T10:00+01:00;814.915;6560.365;57;60.19
2024-01-03T11:00+01:00;838.14;6566.62;54.89;59.96
2024-01-03T12:00+01:00;889.165;6521.875;59.8;59.8
2024-01-03T13:00+01:00;940.065;6411.815;58.86;58.86
2024-01-03T14:00+01:00;948.225;6365.865;60.86;64.99
2024-01-03T15:00+01:00;1060.36;6327.06;67.18;68.83
2024-01-03T16:00+01:00;1224.52;6306.71;73.59;73.59
2024-01-03T17:00+01:00;1310.7;6319.63;82.28;82.28
2024-01-03T18:00+01:00;1316.81;6225.28;82.97;82.97
2024-01-03T19:00+01:00;1321.935;6196.385;79.03;79.03
2024-01-03T20:00+01:00;1277.51;6039.85;73.23;73.23
