Date (GMT+1);Non-Renewable;Renewable;Day Ahead Auction (NO1);Day Ahead Auction (NO2);Day Ahead Auction (NO2NSL);Day Ahead Auction (NO3);Day Ahead Auction (NO4);Day Ahead Auction (NO5)
2024-01-01T00:00+01:00;211.29;13550.88;53.79;53.79;56.37;29.56;29.56;55.41
2024-01-01T01:00+01:00;211.245;12788.615;48.98;48.98;43.43;28.46;28.46;53.41
2024-01-01T02:00+01:00;211.63;12062.7;27.45;27.45;40.92;26.66;26.66;52.03
2024-01-01T03:00+01:00;207.5;11200.65;24.48;24.48;33.51;24.48;24.48;50.74
2024-01-01T04:00+01:00;207;11170.57;24.01;24.01;30.01;24.01;24.01;49.84
2024-01-01T05:00+01:00;206.395;11769.415;21.23;21.23;31.72;21.23;21.23;53.77
2024-01-01T06:00+01:00;208.355;12132.085;22.62;22.62;36.58;22.62;22.62;57.07
2024-01-01T07:00+01:00;205.635;12390.535;25.04;25.04;29.37;25.04;25.04;57.22
2024-01-01T08:00+01:00;208.705;12248.005;26.24;26.24;37;26.24;26.24;46.76
2024-01-01T09:00+01:00;209.94;12739.55;32.21;32.21;37.19;32.21;30.93;46.89
2024-01-01T10:00+01:00;210.14;13431.34;47.71;47.71;48.36;41.34;32.99;47.71
2024-01-01T11:00+01:00;213.285;14218.125;52.51;52.51;47.52;43.51;35.56;52.51
2024-01-01T12:00+01:00;209.455;15284.295;56.57;56.57;58.66;43.02;35.56;56.57
2024-01-01T13:00+01:00;214.55;15535.66;59.82;59.82;61.99;44.29;38.14;59.82
2024-01-01T14:00+01:00;213.4;16319.64;62.06;62.06;62;46.24;38.14;62.06
2024-01-01T15:00+01:00;214.025;16915.435;62.52;62.52;68.05;50.61;38.14;62.52
2024-01-01T16:00+01:00;212.365;17916.875;63.19;63.19;68.61;59.47;39.55;63.19
2024-01-01T17:00+01:00;214.435;18837.435;64.99;64.99;66.62;64.99;40.25;64.99
2024-01-01T18:00+01:00;214.39;17976.36;63.58;63.58;66;61.74;38.14;63.58
2024-01-01T19:00+01:00;213.43;17218.15;63.1;63.1;65.37;55.07;38.14;63.1
2024-01-01T20:00+01:00;212.42;15595.78;62.15;62.15;61.99;48.01;35.56;62.15
2024-01-01T21:00+01:00;208.14;14511.76;58.27;58.27;58.46;44.01;35.56;58.27
2024-01-01T22:00+01:00;211.675;13700.065;52.58;52.58;53.06;45.2;35.56;52.58
2024-01-01T23:00+01:00;211.19;13347.9;44.03;44.03;57;38;35.01;50.93
2024-01-02T00:00+01:00;212.645;12859.915;38;38;42.21;38;32.65;60.28
2024-01-02T01:00+01:00;212.585;12531.235;33.56;33.56;30.37;33.56;32.74;58.45
2024-01-02T02:00+01:00;212.43;12444.3;32.03;32.03;28.14;32.03;32.03;58.14
2024-01-02T03:00+01:00;212.95;12249.55;32.29;32.29;26.67;32.29;32.29;57.55
2024-01-02T04:00+01:00;213.455;12113.405;36.7;36.7;25.81;36.7;33.22;58.1
2024-01-02T05:00+01:00;213.25;12856.76;41.72;41.72;26.61;41.72;38.18;59.3
2024-01-02T06:00+01:00;215.085;14108.415;49.18;49.18;41.98;49.18;41.83;58.55
2024-01-02T07:00+01:00;212.935;16414.555;62.04;62.04;56.71;58.75;44.42;62.04
2024-01-02T08:00+01:00;209.34;18696.18;65.67;65.67;66.52;65.67;44.44;65.67
2024-01-02T09:00+01:00;200.585;20171.075;66.8;66.8;72.72;66.11;44.44;66.8
