Date (GMT+1);Nuclear;Non-Renewable;Renewable;Day Ahead Auction (SE1);Day Ahead Auction (SE2);Day Ahead Auction (SE3);Day Ahead Auction (SE4)
2025-01-01T00:00+01:00;5820;440.74;12481.52;4.88;4.55;3.16;2.67
2025-01-01T01:00+01:00;5819;435.01;11526.16;3.97;3.69;2.47;2.04
2025-01-01T02:00+01:00;5821;431.25;11309.14;3.82;3.55;2.44;2.04
2025-01-01T03:00+01:00;5820;436.03;10888.67;3.49;3.19;1.98;1.54
2025-01-01T04:00+01:00;5822;436.31;10979.64;3.46;3.15;1.79;1.18
2025-01-01T05:00+01:00;5822;436.62;11276.38;3.89;3.68;2.71;2.38
2025-01-01T06:00+01:00;5821;458.31;11642.09;3.54;3.21;1.78;1.29
2025-01-01T07:00+01:00;5821;467.01;12054;3.83;3.48;2.03;1.49
2025-01-01T08:00+01:00;5821;478.44;13208.89;4.67;4.32;2.92;2.4
2025-01-01T09:00+01:00;5821;497.41;13685.74;5.15;4.77;3.27;2.7
2025-01-01T10:00+01:00;5821;490.75;14309.47;6.04;5.89;4.29;3.7
2025-01-01T11:00+01:00;5822;488.92;14464.17;6.07;5.98;4.43;3.86
2025-01-01T12:00+01:00;5821;461.42;14686.11;6.05;5.9;4.44;3.9
2025-01-01T13:00+01:00;5821;449.68;14744.16;6.12;5.94;4.5;3.96
2025-01-01T14:00+01:00;5823;524.51;15113.87;7.31;7.28;5.99;5.5
2025-01-01T15:00+01:00;5822;582.23;16478.18;11.53;12.37;12.26;12.28
2025-01-01T16:00+01:00;5820;620.77;17218.46;16.59;17.85;18.84;19.29
2025-01-01T17:00+01:00;5825;624.33;17692.5;17.59;18.87;20.69;21.43
2025-01-01T18:00+01:00;5824;603.51;17580.32;13.84;14.98;16.31;16.88
2025-01-01T19:00+01:00;5822;603.74;17377.37;9.55;9.78;10;10.11
2025-01-01T20:00+01:00;5822;604.37;17170.83;8.25;8.21;8.07;8.01
2025-01-01T21:00+01:00;5823;598.26;17191.19;7.27;7.19;6.88;6.76
2025-01-01T22:00+01:00;5822;557.6;17183.5;9.01;9.26;9.64;9.8
2025-01-01T23:00+01:00;5823;531.21;16292.37;7.12;7.1;7.04;7.01
2025-01-02T00:00+01:00;5823;580.03;14810.36;5.01;4.55;3.4;2.95
2025-01-02T01:00+01:00;5825;581.44;13999.45;4.87;4.41;3.25;2.82
2025-01-02T02:00+01:00;5825;588.1;14209.22;5.25;4.88;4;3.67
2025-01-02T03:00+01:00;5825;595.45;15001.42;6.45;6.2;6.69;6.84
2025-01-02T04:00+01:00;5825;642.9;15044.19;6.93;5.89;10.71;12.29
2025-01-02T05:00+01:00;5827;739.99;15356.93;8.07;5.96;17.77;21.44
2025-01-02T06:00+01:00;5827;933.67;15968.82;6.9;6.62;40.18;39.94
2025-01-02T07:00+01:00;5827;1158.92;16202.49;6.66;5.94;93.98;93.41
2025-01-02T08:00+01:00;5825;1244.54;16367.55;6.98;6.01;118.65;118.62
2025-01-02T09:00+01:00;5829;1244.38;16577.25;6.72;6.03;124.76;124.2
2025-01-02T10:00+01:00;5828;1249.01;16630.09;6.46;5.56;123.35;123.32
2025-01-02T11:00+01:00;5827;1255.76;16945.39;6.37;5.6;110.5;110.47
2025-01-02T12:00+01:00;5826;1286.08;17044.83;6.22;5.66;100.84;100.49
2025-01-02T13:00+01:00;5827;1286.43;16951;5.94;5.39;106.1;105.62
2025-01-02T14:00+01:00;5828;1290.29;17054.95;6.07;5.33;112.56;111.95
2025-01-02T15:00+01:00;5828;1296.23;17376.78;6.19;5.2;127.82;127.01
2025-01-02T16:00+01:00;5828;1294.93;17764.63;6.89;5.55;135.32;135.26
2025-01-02T17:00+01:00;5828;1284.57;17783.37;6.74;5.4;150.01;149.82
2025-01-02T18:00+01:00;5829;1262.05;17536.42;6.38;5.33;147.02;146.16
2025-01-02T19:00+01:00;5829;1212.67;17414.3;6.29;5.39;108.33;107.56
2025-01-02T20:00+01:00;5829;1172.96;17047.72;6.25;5.38;103.54;102.8
2025-01-02T21:00+01:00;5828;1093.74;16687.23;6.34;5.34;76.35;75.55
2025-01-02T22:00+01:00;5829;956.5;16879.29;7.65;7.28;61.86;61.57
2025-01-02T23:00+01:00;5834;903.71;16653.46;7.7;7.44;49.16;48.95
2025-01-03T00:00+01:00;5827;816.83;16388.66;5.95;5.69;43.01;42.76
2025-01-03T01:00+01:00;5826;809.2;16293.21;6.35;5.98;38.15;38.13
2025-01-03T02:00+01:00;5828;814.42;16311.37;6.72;6.39;35.22;35.21
2025-01-03T03:00+01:00;5827;807.55;16271.85;8.98;9.1;33.43;33.43
2025-01-03T04:00+01:00;5829;803.56;16109.62;13.39;14.43;29.73;30.01
2025-01-03T05:00+01:00;5828;815.88;16080.22;15.24;15.7;30.58;30.79
2025-01-03T06:00+01:00;5824;887.3;16323.03;16.7;16.65;38.36;38.42
2025-01-03T07:00+01:00;5822;1006.75;16614.04;16.9;16.5;52.32;52.14
2025-01-03T08:00+01:00;5816;1028.85;16962.54;17.12;16.58;80.9;80.6
2025-01-03T09:00+01:00;5817;1044.61;17440.15;16.73;24.2;80.17;81.18
2025-01-03T10:00+01:00;5818;1053.46;17787.9;15.76;15.3;76.13;75.79
2025-01-03T11:00+01:00;5822;1047.16;17973.12;13.97;19.45;68.57;69.02
2025-01-03T12:00+01:00;5823;1061.88;18398.25;13.9;13.23;55.04;54.48
2025-01-03T13:00+01:00;5827;1046.45;18620.54;13.9;14.11;53.49;52.96
2025-01-03T14:00+01:00;5827;1049.67;18896.58;12.63;11.36;53.96;53.79
2025-01-03T15:00+01:00;5828;1124.91;19171.62;13.18;12.28;73.75;73.09
2025-01-03T16:00+01:00;5829;1208.21;19628.91;13.74;13.46;100.74;100.53
2025-01-03T17:00+01:00;5829;1173.5;19545.53;9.99;9.45;106.39;105.93
2025-01-03T18:00+01:00;5831;1121.61;19325.32;9.69;9.05;109.22;108.67
2025-01-03T19:00+01:00;5831;1113.52;18975.96;7.99;7.49;101.27;100.81
2025-01-03T20:00+01:00;5830;1105.78;18417.55;7.67;5.91;84.49;83.1
2025-01-03T21:00+01:00;5831;985;17894.89;6.8;5.93;81.62;80.9
2025-01-03T22:00+01:00;5831;947.58;17510.79;6.35;5.38;68.11;67.33
2025-01-03T23:00+01:00;5828;917.8;17044.69;5.81;5;68.6;67.94
2025-01-04T00:00+01:00;5828;966.72;16244.37;5.34;5;51.1;50.63
2025-01-04T01:00+01:00;5825;957.95;16260.38;5.45;5.03;47.81;47.26
2025-01-04T02:00+01:00;5823;943.85;16266.57;5.45;4.99;44.15;43.56
2025-01-04T03:00+01:00;5822;949;16419.51;5.45;4.96;44.17;43.56
2025-01-04T04:00+01:00;5824;961.25;16441.34;5.36;5.01;42.97;42.51
2025-01-04T05:00+01:00;5829;999.69;16544.97;5.58;5.2;43.26;42.8
2025-01-04T06:00+01:00;5825;1041.93;17016.09;5.47;4.69;58.13;57.25
2025-01-04T07:00+01:00;5829;1162.25;17172.18;5.61;5.19;84.24;83.71
2025-01-04T08:00+01:00;5833;1291.46;17555.6;6.06;5.67;100.2;99.69
2025-01-04T09:00+01:00;5833;1317.58;17469.74;6.01;5.57;105.85;105.28
2025-01-04T10:00+01:00;5834;1342.1;17570.96;6.2;5.75;106.43;105.83
2025-01-04T11:00+01:00;5833;1353.78;17469.72;6.41;6.01;105.57;105.04
2025-01-04T12:00+01:00;5832;1370.42;17464.34;7.14;6.79;103.39;102.89
2025-01-04T13:00+01:00;5832;1359.9;16904.75;6.76;6.42;78.06;77.59
2025-01-04T14:00+01:00;5832;1360;16605.76;7.29;6.37;112.13;111.13
2025-01-04T15:00+01:00;5830;1384.99;16497.1;7.44;6.41;136.54;135.43
2025-01-04T16:00+01:00;5809;1414.85;16382.43;8.94;5.96;144.86;141.79
2025-01-04T17:00+01:00;5779;1403.55;16179.59;7.57;6.96;149.02;148.35
2025-01-04T18:00+01:00;5796;1406.05;15809.33;8.92;6.42;142.99;140.49
2025-01-04T19:00+01:00;5813;1364.6;15616.06;9.34;6.87;136.1;133.63
2025-01-04T20:00+01:00;5816;1323.39;15344.65;8.99;6.97;119.98;117.95
2025-01-04T21:00+01:00;5827;1286.11;14988.51;9.33;6.84;116.49;113.97
2025-01-04T22:00+01:00;5829;1194.99;14726.49;8.29;6.96;75.03;73.67
2025-01-04T23:00+01:00;5828;1096.93;14688.71;8.09;6.98;62.59;61.45
2025-01-05T00:00+01:00;5827;964.9;15190.62;16.4;14.99;55.25;54.21
2025-01-05T01:00+01:00;5828;962.35;14967.68;16.99;15.56;55.99;54.89
2025-01-05T02:00+01:00;5828;958.65;14747.87;16.79;15.38;56.97;55.85
2025-01-05T03:00+01:00;5828;962.18;14556.15;15.37;13.98;58.94;57.77
2025-01-05T04:00+01:00;5828;954.51;14573.61;15.26;13.81;67.77;66.5
2025-01-05T05:00+01:00;5828;984.77;14582.4;14.08;12.49;69.12;67.7
2025-01-05T06:00+01:00;5826;998.01;14571.09;15.08;13.17;82.95;81.24
2025-01-05T07:00+01:00;5826;991.81;14640.26;16.47;14.45;83.25;81.89
2025-01-05T08:00+01:00;5826;1041.28;14588.27;16.19;14.14;86.89;85.46
2025-01-05T09:00+01:00;5826;1043.68;14523.01;17.65;15.53;91.06;89.55
2025-01-05T10:00+01:00;5829;1063.27;14481.09;18.02;16.06;85.67;84.29
2025-01-05T11:00+01:00;5829;1073.32;14584.65;18.77;16.64;91.94;91
2025-01-05T12:00+01:00;5831;1064.6;14703.05;19.86;17.89;84.46;83.66
2025-01-05T13:00+01:00;5829;1070.42;14403.41;19.62;17.86;79.93;78.72
2025-01-05T14:00+01:00;5830;1074.95;14385.56;21.17;19.6;69.27;68.27
2025-01-05T15:00+01:00;5830;1082.82;14614.76;26.24;24.88;52.64;51.99
2025-01-05T16:00+01:00;5830;1090.9;14889.83;54.46;52.36;51.61;51.15
