Date (GMT+2);Nuclear;Non-Renewable;Renewable;Day Ahead Auction (FI)
2024-01-01T00:00+02:00;4349.975;1118.33;4159.03;40.01
2024-01-01T01:00+02:00;4350.375;1097.855;4438.3825;38.37
2024-01-01T02:00+02:00;4350.725;1095.525;4827.265;28.46
2024-01-01T03:00+02:00;4350.4;1104.8275;5011.7425;26.66
2024-01-01T04:00+02:00;4350.325;1111.295;4833.1375;24.48
2024-01-01T05:00+02:00;4351.425;1147.4325;4744.8025;24.01
2024-01-01T06:00+02:00;4350.9;1151.93;4786.66;21.23
2024-01-01T07:00+02:00;4351.15;1132.4575;4864.99;22.62
2024-01-01T08:00+02:00;4351.325;1160.2075;4983.0275;25.04
2024-01-01T09:00+02:00;4354.4;1177.77;5054.1875;26.24
2024-01-01T10:00+02:00;4354.1;1200.715;5061.9425;32.21
2024-01-01T11:00+02:00;4351.3;1201.165;5267.0725;41.34
2024-01-01T12:00+02:00;4350.725;1204.9475;5014.6325;43.51
2024-01-01T13:00+02:00;4351.35;1218.3175;4868.7325;58.64
2024-01-01T14:00+02:00;4350.475;1236.9275;4765.535;61.14
2024-01-01T15:00+02:00;4350.8;1245.765;5024.78;60.34
2024-01-01T16:00+02:00;4351.175;1276.2475;5475.1975;77.56
2024-01-01T17:00+02:00;4352.8;1308.7525;5368.9275;68.4
2024-01-01T18:00+02:00;4361.6;1318.27;5369.2075;74.16
2024-01-01T19:00+02:00;4361.125;1274.2025;5418.3025;65.01
2024-01-01T20:00+02:00;4360.775;1259.9375;5392.12;55.91
2024-01-01T21:00+02:00;4360.925;1276.075;5031.8525;48.15
2024-01-01T22:00+02:00;4360.525;1273.8275;5032.3775;64.94
2024-01-01T23:00+02:00;4361.55;1289.4275;4813.5725;53.6
2024-01-02T00:00+02:00;4360.625;1264.0575;4490.255;43.99
2024-01-02T01:00+02:00;4360.55;1322.385;4285.3325;55.5
2024-01-02T02:00+02:00;4360.5;1324.92;3942.69;49.94
2024-01-02T03:00+02:00;4359.95;1329.57125;3678.93875;47.26
2024-01-02T04:00+02:00;4360.525;1383.36875;3684.64625;53.5
2024-01-02T05:00+02:00;4360.525;1548.345;3900.41;76.48
2024-01-02T06:00+02:00;4358.725;1667.64;4146.1975;180.05
2024-01-02T07:00+02:00;4351.45;1801.93375;4226.80875;250.01
2024-01-02T08:00+02:00;4350.8;2007.2125;4412.435;483.08
2024-01-02T09:00+02:00;4353.925;2132.385;4508.1875;300.07
2024-01-02T10:00+02:00;4345.5;2172.4625;4446.53;250.01
2024-01-02T11:00+02:00;4342.6;2256.66375;4342.47375;241.94
2024-01-02T12:00+02:00;4351.45;2261.14625;4200.94125;159.47
2024-01-02T13:00+02:00;4351.45;2292.44375;4281.26125;149.99
2024-01-02T14:00+02:00;4359.125;2322.03;4330.365;149.99
2024-01-02T15:00+02:00;4365.45;2337.0925;4398.2775;165.8
2024-01-02T16:00+02:00;4363.325;2384.85625;4477.22625;250.02
2024-01-02T17:00+02:00;4362.025;2423.15375;4413.92125;226.21
