ISP (CET/CEST),Area,Reserve Type,Source,Type of Product,Price Type,Price Up (EUR/MWh),Price Down (EUR/MWh)
31/12/2022 23:00:00 - 01/01/2023 00:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,23.56,23.56
01/01/2023 00:00:00 - 01/01/2023 01:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,23.35,23.35
01/01/2023 01:00:00 - 01/01/2023 02:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,23.28,23.28
01/01/2023 02:00:00 - 01/01/2023 03:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,23.37,6.5
01/01/2023 03:00:00 - 01/01/2023 04:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,23.67,6.5
01/01/2023 04:00:00 - 01/01/2023 05:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,24.12,-2.0
01/01/2023 05:00:00 - 01/01/2023 06:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,32.24,4.5
01/01/2023 06:00:00 - 01/01/2023 07:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,35.93,-2.5
01/01/2023 07:00:00 - 01/01/2023 08:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,42.78,-3.5
01/01/2023 08:00:00 - 01/01/2023 09:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,47.7,-3.5
01/01/2023 09:00:00 - 01/01/2023 10:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,53.38,-3.5
01/01/2023 10:00:00 - 01/01/2023 11:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,59.34,-3.5
01/01/2023 11:00:00 - 01/01/2023 12:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,61.66,-3.5
01/01/2023 12:00:00 - 01/01/2023 13:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,64.91,-3.5
01/01/2023 13:00:00 - 01/01/2023 14:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,71.03,-3.5
01/01/2023 14:00:00 - 01/01/2023 15:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,73.11,0.45
01/01/2023 15:00:00 - 01/01/2023 16:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,77.13,9.51
01/01/2023 16:00:00 - 01/01/2023 17:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,145.0,75.32
01/01/2023 17:00:00 - 01/01/2023 18:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,130.0,70.82
01/01/2023 18:00:00 - 01/01/2023 19:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,130.0,63.68
01/01/2023 19:00:00 - 01/01/2023 20:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,130.0,60.37
01/01/2023 20:00:00 - 01/01/2023 21:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,92.0,50.96
01/01/2023 21:00:00 - 01/01/2023 22:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,90.0,48.59
