Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2023-05-12 Kl. 00-01;1.19088;1.19088;0.36064;0.28851;1.19088
2023-05-12 Kl. 01-02;1.18384;1.18384;0.36050;0.28840;1.18384
2023-05-12 Kl. 02-03;1.18398;1.18398;0.35719;0.28575;1.18398
2023-05-12 Kl. 03-04;1.16601;1.16601;0.35834;0.28667;1.16601
2023-05-12 Kl. 04-05;1.14991;1.14991;0.35661;0.28529;1.14991
2023-05-12 Kl. 05-06;1.18555;1.18555;0.38609;0.30887;1.18555
2023-05-12 Kl. 06-07;1.18297;1.18297;0.61478;0.41627;1.18297
2023-05-12 Kl. 07-08;1.22034;1.22034;0.66091;0.48319;1.22034
2023-05-12 Kl. 08-09;1.22969;1.22969;0.73292;0.48618;1.22969
2023-05-12 Kl. 09-10;1.21200;1.21200;0.69325;0.48526;1.21200
2023-05-12 Kl. 10-11;1.18555;1.18555;0.66105;0.48469;1.18555
2023-05-12 Kl. 11-12;1.14430;1.14430;0.65990;0.46905;1.14430
2023-05-12 Kl. 12-13;1.07761;1.07761;0.64596;0.44938;1.07761
2023-05-12 Kl. 13-14;0.99209;0.99209;0.62053;0.44927;0.99209
2023-05-12 Kl. 14-15;0.94795;0.94795;0.54018;0.37935;0.94795
2023-05-12 Kl. 15-16;0.99970;0.99970;0.53514;0.37924;0.99970
2023-05-12 Kl. 16-17;1.07503;1.07503;0.54721;0.43777;1.07503
2023-05-12 Kl. 17-18;1.12519;1.12519;0.62469;0.49975;1.12519
2023-05-12 Kl. 18-19;1.13108;1.13108;0.62411;0.49929;1.13108
2023-05-12 Kl. 19-20;1.14890;1.14890;0.62512;0.50010;1.14890
2023-05-12 Kl. 20-21;1.18196;1.18196;0.62512;0.50010;1.18196
2023-05-12 Kl. 21-22;1.19389;1.19389;0.62095;0.49676;1.19389
2023-05-12 Kl. 22-23;1.18526;1.18526;0.62340;0.49872;1.18526
2023-05-12 Kl. 23-00;1.19605;1.19605;0.56159;0.44927;1.19605
2023-05-13 Kl. 00-01;1.11379;1.15163;0.37554;0.30043;1.11379
2023-05-13 Kl. 01-02;1.08528;1.15075;0.36796;0.29437;1.08528
2023-05-13 Kl. 02-03;1.04788;1.16224;0.36884;0.29507;1.04788
2023-05-13 Kl. 03-04;1.02241;1.16326;0.37844;0.30275;1.02241
2023-05-13 Kl. 04-05;1.02228;1.16326;0.38398;0.30718;1.02228
2023-05-13 Kl. 05-06;1.08295;1.14653;0.38382;0.30706;1.08295
2023-05-13 Kl. 06-07;1.13489;1.13489;0.32825;0.26260;1.13489
2023-05-13 Kl. 07-08;1.16500;1.16500;0.33421;0.26737;1.16500
2023-05-13 Kl. 08-09;1.16458;1.16458;0.35341;0.28273;1.16458
2023-05-13 Kl. 09-10;1.15366;1.15366;0.35167;0.28134;1.15366
2023-05-13 Kl. 10-11;0.99870;0.99870;0.32810;0.26248;0.99870
2023-05-13 Kl. 11-12;0.56875;0.56875;0.28518;0.22814;0.56875
2023-05-13 Kl. 12-13;0.23280;0.23280;0.22450;0.17960;0.23280
2023-05-13 Kl. 13-14;0.08308;0.08308;0.08308;0.06646;0.08308
2023-05-13 Kl. 14-15;0.07580;0.07580;0.07580;0.06064;0.07580
2023-05-13 Kl. 15-16;0.08978;0.08978;0.08978;0.07182;0.08978
2023-05-13 Kl. 16-17;0.59073;0.59073;0.27703;0.22162;0.59073
2023-05-13 Kl. 17-18;0.98939;0.98939;0.35021;0.28017;0.98939
2023-05-13 Kl. 18-19;1.15016;1.15016;0.36680;0.29344;1.15016
2023-05-13 Kl. 19-20;1.18436;1.18436;0.36855;0.29484;1.18436
2023-05-13 Kl. 20-21;1.17970;1.17970;0.34861;0.27889;1.17970
2023-05-13 Kl. 21-22;1.18276;1.18276;0.35444;0.28355;1.18276
2023-05-13 Kl. 22-23;1.18073;1.18073;0.29100;0.23280;1.18073
2023-05-13 Kl. 23-00;1.17286;1.17606;0.18216;0.14573;1.17286
2023-05-14 Kl. 00-01;1.14695;1.29716;0.14645;0.11716;1.14695
2023-05-14 Kl. 01-02;1.13766;1.24366;0.13050;0.10440;1.13766
2023-05-14 Kl. 02-03;1.13303;1.23844;0.12413;0.09930;1.13303
2023-05-14 Kl. 03-04;1.13085;1.19828;0.12108;0.09686;1.13085
2023-05-14 Kl. 04-05;1.13056;1.21306;0.11600;0.09280;1.13056
2023-05-14 Kl. 05-06;1.13419;1.19726;0.11934;0.09547;1.13419
2023-05-14 Kl. 06-07;1.08750;1.08750;0.10919;0.08735;1.08750
2023-05-14 Kl. 07-08;1.03791;1.03791;0.12586;0.10069;1.03791
2023-05-14 Kl. 08-09;1.01224;1.01224;0.19966;0.15973;1.01224
2023-05-14 Kl. 09-10;0.86188;0.86188;0.22649;0.18119;0.86188
2023-05-14 Kl. 10-11;0.37540;0.37540;0.17574;0.14059;0.37540
2023-05-14 Kl. 11-12;0.20750;0.20750;0.13470;0.10776;0.20750
2023-05-14 Kl. 12-13;0.14529;0.14529;0.08366;0.06693;0.14529
2023-05-14 Kl. 13-14;0.02755;0.02755;0.02683;0.02146;0.02755
2023-05-14 Kl. 14-15;0.00246;0.00246;0.00246;0.00197;0.00246
2023-05-14 Kl. 15-16;0.02654;0.02654;0.02654;0.02123;0.02654
2023-05-14 Kl. 16-17;0.76211;0.76211;0.10585;0.08468;0.76211
2023-05-14 Kl. 17-18;1.01848;1.01848;0.14993;0.11994;1.01848
2023-05-14 Kl. 18-19;1.18146;1.19494;0.20170;0.16136;1.18146
2023-05-14 Kl. 19-20;1.18494;1.29674;0.23824;0.19059;1.18494
2023-05-14 Kl. 20-21;1.18769;1.34169;0.15225;0.12180;1.18769
2023-05-14 Kl. 21-22;1.18828;1.34183;0.11136;0.08909;1.18828
2023-05-14 Kl. 22-23;1.18696;1.33879;0.07990;0.06392;1.18696
2023-05-14 Kl. 23-00;1.17870;1.33400;0.06090;0.04872;1.17870
2023-05-15 Kl. 00-01;1.05778;1.32196;0.06743;0.05394;1.05778
2023-05-15 Kl. 01-02;0.92306;1.29456;0.06714;0.05371;0.92306
2023-05-15 Kl. 02-03;0.90349;1.24193;0.06960;0.05568;0.90349
2023-05-15 Kl. 03-04;0.93670;1.18813;0.07395;0.05916;0.93670
2023-05-15 Kl. 04-05;1.07894;1.07894;0.07656;0.06125;1.07894
2023-05-15 Kl. 05-06;1.08924;1.08924;0.09700;0.07760;1.08924
2023-05-15 Kl. 06-07;1.18828;1.18828;0.21040;0.16832;1.18828
2023-05-15 Kl. 07-08;1.33776;1.33776;0.33800;0.27040;1.33776
2023-05-15 Kl. 08-09;1.36489;1.36489;0.35786;0.28629;1.36489
2023-05-15 Kl. 09-10;1.26629;1.26629;0.34699;0.27759;1.26629
2023-05-15 Kl. 10-11;1.23351;1.23351;0.32973;0.26378;1.23351
2023-05-15 Kl. 11-12;1.20596;1.20596;0.30435;0.24348;1.20596
2023-05-15 Kl. 12-13;1.23308;1.23308;0.21663;0.17330;1.23308
2023-05-15 Kl. 13-14;1.21466;1.21466;0.18763;0.15010;1.21466
2023-05-15 Kl. 14-15;1.16811;1.16811;0.16240;0.12992;1.16811
2023-05-15 Kl. 15-16;1.07851;1.07851;0.17284;0.13827;1.07851
2023-05-15 Kl. 16-17;1.04893;1.04893;0.20678;0.16542;1.04893
2023-05-15 Kl. 17-18;1.06648;1.06648;0.25070;0.20056;1.06648
2023-05-15 Kl. 18-19;1.16435;1.16435;0.29638;0.23710;1.16435
2023-05-15 Kl. 19-20;1.20060;1.20060;0.27594;0.22075;1.20060
2023-05-15 Kl. 20-21;1.21379;1.21379;0.26187;0.20950;1.21379
2023-05-15 Kl. 21-22;1.19814;1.19814;0.19880;0.15904;1.19814
2023-05-15 Kl. 22-23;1.17421;1.17421;0.17125;0.13700;1.17421
2023-05-15 Kl. 23-00;1.15319;1.15319;0.15080;0.12064;1.15319
2023-05-16 Kl. 00-01;1.06279;1.06279;0.11120;0.08896;1.06279
2023-05-16 Kl. 01-02;1.00299;1.00299;0.11873;0.09498;1.00299
2023-05-16 Kl. 02-03;0.96070;0.96070;0.11280;0.09024;0.96070
2023-05-16 Kl. 03-04;0.87224;0.87224;0.07544;0.06035;0.87224
2023-05-16 Kl. 04-05;0.90424;0.90424;0.11641;0.09313;0.90424
2023-05-16 Kl. 05-06;1.00125;1.00125;0.12554;0.10043;1.00125
2023-05-16 Kl. 06-07;1.10955;1.10955;0.23905;0.19124;1.10955
2023-05-16 Kl. 07-08;1.11621;1.11621;0.34316;0.27453;1.11621
2023-05-16 Kl. 08-09;1.11505;1.11505;0.36068;0.28854;1.11505
2023-05-16 Kl. 09-10;1.06438;1.06438;0.35504;0.28403;1.06438
2023-05-16 Kl. 10-11;1.03411;1.03411;0.34156;0.27325;1.03411
2023-05-16 Kl. 11-12;0.89265;0.89265;0.31653;0.25322;0.89265
2023-05-16 Kl. 12-13;0.74236;0.74236;0.23341;0.18673;0.74236
2023-05-16 Kl. 13-14;0.58439;0.58439;0.18881;0.15105;0.58439
2023-05-16 Kl. 14-15;0.29813;0.29813;0.15131;0.12105;0.29813
2023-05-16 Kl. 15-16;0.18780;0.18780;0.13031;0.10425;0.18780
2023-05-16 Kl. 16-17;0.60654;0.60654;0.12046;0.09637;0.60654
2023-05-16 Kl. 17-18;0.86573;0.86573;0.12496;0.09997;0.86573
2023-05-16 Kl. 18-19;0.86573;0.86573;0.11164;0.08931;0.86573
2023-05-16 Kl. 19-20;0.85906;0.85906;0.08848;0.07078;0.85906
2023-05-16 Kl. 20-21;0.82214;0.82214;0.06559;0.05247;0.82214
2023-05-16 Kl. 21-22;0.72368;0.72368;0.05690;0.04552;0.72368
2023-05-16 Kl. 22-23;0.42454;0.42454;0.04647;0.03718;0.42454
2023-05-16 Kl. 23-00;0.21734;0.21734;0.00145;0.00116;0.21734
2023-05-17 Kl. 00-01;0.65166;0.65166;0.00015;0.00012;0.65166
2023-05-17 Kl. 01-02;0.45049;0.45049;-0.00220;-0.00220;0.45049
2023-05-17 Kl. 02-03;0.45049;0.45049;-0.01276;-0.01276;0.45049
2023-05-17 Kl. 03-04;0.45049;0.45049;-0.02344;-0.02344;0.45049
2023-05-17 Kl. 04-05;0.45064;0.45064;-0.02309;-0.02309;0.45064
2023-05-17 Kl. 05-06;0.51924;0.51924;-0.01184;-0.01184;0.51924
2023-05-17 Kl. 06-07;0.65122;0.65122;0.00015;0.00012;0.65122
2023-05-17 Kl. 07-08;0.75653;0.75653;0.03525;0.02820;0.75653
2023-05-17 Kl. 08-09;0.80975;0.80975;0.05004;0.04003;0.80975
2023-05-17 Kl. 09-10;0.75348;0.75348;0.04771;0.03817;0.75348
2023-05-17 Kl. 10-11;0.72505;0.72505;0.04294;0.03435;0.72505
2023-05-17 Kl. 11-12;0.54346;0.54346;0.02364;0.01891;0.54346
2023-05-17 Kl. 12-13;0.10646;0.10646;0.00696;0.00557;0.10646
2023-05-17 Kl. 13-14;0.02190;0.02190;0.00073;0.00058;0.02190
2023-05-17 Kl. 14-15;0.00378;0.00378;0.00116;0.00093;0.00378
2023-05-17 Kl. 15-16;0.12009;0.12009;0.00101;0.00081;0.12009
2023-05-17 Kl. 16-17;0.65224;0.65224;0.00160;0.00128;0.65224
2023-05-17 Kl. 17-18;0.85559;0.85559;0.00711;0.00569;0.85559
2023-05-17 Kl. 18-19;0.94304;0.94304;0.02118;0.01694;0.94304
2023-05-17 Kl. 19-20;1.02180;1.02180;0.01364;0.01091;1.02180
2023-05-17 Kl. 20-21;1.09910;1.09910;0.00362;0.00290;1.09910
2023-05-17 Kl. 21-22;1.13363;1.17945;0.00145;0.00116;1.13363
2023-05-17 Kl. 22-23;1.11854;1.23153;0.00130;0.00104;1.11854
2023-05-17 Kl. 23-00;1.09301;1.23137;0.00160;0.00128;1.09301
2023-05-18 Kl. 00-01;1.12689;1.26364;0.00131;0.00105;1.12689
2023-05-18 Kl. 01-02;1.11488;1.24065;0.00498;0.00398;1.11488
2023-05-18 Kl. 02-03;1.11341;1.20595;0.00528;0.00422;1.11341
2023-05-18 Kl. 03-04;1.11356;1.11415;0.00351;0.00281;1.11356
2023-05-18 Kl. 04-05;1.10345;1.10345;0.00293;0.00234;1.10345
2023-05-18 Kl. 05-06;1.10243;1.10243;0.00131;0.00105;1.10243
2023-05-18 Kl. 06-07;1.13348;1.15924;0.01099;0.00879;1.13348
2023-05-18 Kl. 07-08;1.16935;1.27901;0.07263;0.05810;1.16935
2023-05-18 Kl. 08-09;1.24549;1.25925;0.13325;0.10660;1.24549
2023-05-18 Kl. 09-10;1.13625;1.13625;0.17425;0.13940;1.13625
2023-05-18 Kl. 10-11;1.05499;1.05499;0.20763;0.16610;1.05499
2023-05-18 Kl. 11-12;0.95235;0.95235;0.15273;0.12218;0.95235
2023-05-18 Kl. 12-13;0.92058;0.92058;0.13310;0.10648;0.92058
2023-05-18 Kl. 13-14;0.65759;0.65759;0.04700;0.03760;0.65759
2023-05-18 Kl. 14-15;0.44499;0.44499;0.06063;0.04850;0.44499
2023-05-18 Kl. 15-16;0.79025;0.79025;0.06780;0.05424;0.79025
2023-05-18 Kl. 16-17;1.02541;1.02541;0.08523;0.06818;1.02541
2023-05-18 Kl. 17-18;1.16964;1.16964;0.13705;0.10964;1.16964
2023-05-18 Kl. 18-19;1.23803;1.26364;0.26254;0.21003;1.23803
2023-05-18 Kl. 19-20;1.24798;1.27901;0.27381;0.21905;1.24798
2023-05-18 Kl. 20-21;1.24813;1.28209;0.25874;0.20699;1.24813
2023-05-18 Kl. 21-22;1.24798;1.27990;0.20001;0.16001;1.24798
2023-05-18 Kl. 22-23;1.21635;1.26525;0.13310;0.10648;1.21635
2023-05-18 Kl. 23-00;1.13655;1.23173;0.08610;0.06888;1.13655
2023-05-19 Kl. 00-01;1.21548;1.21548;0.07849;0.06279;1.21548
2023-05-19 Kl. 01-02;1.17930;1.17930;0.06589;0.05271;1.17930
2023-05-19 Kl. 02-03;1.13714;1.13714;0.06004;0.04803;1.13714
2023-05-19 Kl. 03-04;1.09189;1.09189;0.06091;0.04873;1.09189
2023-05-19 Kl. 04-05;1.11165;1.11165;0.05769;0.04615;1.11165
2023-05-19 Kl. 05-06;1.15075;1.15075;0.06619;0.05295;1.15075
2023-05-19 Kl. 06-07;1.21810;1.21810;0.09854;0.07883;1.21810
2023-05-19 Kl. 07-08;1.50525;1.50525;0.24291;0.19433;1.50525
2023-05-19 Kl. 08-09;1.49250;1.49250;0.26605;0.21284;1.49250
2023-05-19 Kl. 09-10;1.28926;1.28926;0.28934;0.23147;1.28926
2023-05-19 Kl. 10-11;1.04151;1.04151;0.29300;0.23440;1.04151
2023-05-19 Kl. 11-12;0.88675;0.88675;0.23281;0.18625;0.88675
2023-05-19 Kl. 12-13;0.88778;0.88778;0.14628;0.11702;0.88778
2023-05-19 Kl. 13-14;0.85029;0.85029;0.10660;0.08528;0.85029
2023-05-19 Kl. 14-15;0.84824;0.84824;0.06970;0.05576;0.84824
2023-05-19 Kl. 15-16;0.94093;0.94093;0.06794;0.05435;0.94093
2023-05-19 Kl. 16-17;1.04709;1.04709;0.08800;0.07040;1.04709
2023-05-19 Kl. 17-18;1.21371;1.21371;0.11801;0.09441;1.21371
2023-05-19 Kl. 18-19;1.33979;1.33979;0.14643;0.11714;1.33979
2023-05-19 Kl. 19-20;1.33774;1.33774;0.12359;0.09887;1.33774
2023-05-19 Kl. 20-21;1.33290;1.33290;0.06896;0.05517;1.33290
2023-05-19 Kl. 21-22;1.32485;1.32485;0.04876;0.03901;1.32485
2023-05-19 Kl. 22-23;1.31988;1.31988;0.02694;0.02155;1.31988
2023-05-19 Kl. 23-00;1.21708;1.21708;0.00644;0.00515;1.21708
2023-05-20 Kl. 00-01;1.11694;1.11694;0.01800;0.01440;1.11694
2023-05-20 Kl. 01-02;1.04974;1.04974;0.01771;0.01417;1.04974
2023-05-20 Kl. 02-03;0.96981;0.96981;0.00380;0.00304;0.96981
2023-05-20 Kl. 03-04;0.93571;0.93571;0.00264;0.00211;0.93571
2023-05-20 Kl. 04-05;0.92473;0.92473;0.01800;0.01440;0.92473
2023-05-20 Kl. 05-06;0.93395;0.93395;0.01889;0.01511;0.93395
2023-05-20 Kl. 06-07;0.88066;0.88066;0.03455;0.02764;0.88066
2023-05-20 Kl. 07-08;0.88594;0.88594;0.06398;0.05118;0.88594
2023-05-20 Kl. 08-09;0.83075;0.83075;0.07218;0.05774;0.83075
2023-05-20 Kl. 09-10;0.65860;0.65860;0.07246;0.05797;0.65860
2023-05-20 Kl. 10-11;0.06690;0.06690;0.06339;0.05071;0.06690
2023-05-20 Kl. 11-12;0.00556;0.00556;0.00556;0.00445;0.00556
2023-05-20 Kl. 12-13;-0.00176;-0.00176;-0.00176;-0.00176;-0.00176
2023-05-20 Kl. 13-14;-0.00644;-0.00644;-0.00644;-0.00644;-0.00644
2023-05-20 Kl. 14-15;-0.00105;-0.00105;-0.00105;-0.00105;-0.00105
2023-05-20 Kl. 15-16;0.00000;0.00000;0.00000;0.00000;0.00000
2023-05-20 Kl. 16-17;0.01991;0.01991;0.01933;0.01546;0.01991
2023-05-20 Kl. 17-18;0.44136;0.44136;0.06134;0.04907;0.44136
2023-05-20 Kl. 18-19;0.83280;0.83280;0.06865;0.05492;0.83280
2023-05-20 Kl. 19-20;1.04125;1.04125;0.06851;0.05481;1.04125
2023-05-20 Kl. 20-21;1.15778;1.17754;0.06178;0.04942;1.15778
2023-05-20 Kl. 21-22;1.14988;1.14988;0.05372;0.04298;1.14988
2023-05-20 Kl. 22-23;1.11386;1.11386;0.03455;0.02764;1.11386
2023-05-20 Kl. 23-00;1.03789;1.03789;0.01097;0.00878;1.03789
2023-05-21 Kl. 00-01;0.83033;0.83033;0.00648;0.00518;0.83033
2023-05-21 Kl. 01-02;0.60913;0.60913;0.00074;0.00059;0.60913
2023-05-21 Kl. 02-03;0.51428;0.51428;0.00000;0.00000;0.51428
2023-05-21 Kl. 03-04;0.43711;0.43711;-0.00035;-0.00035;0.43711
2023-05-21 Kl. 04-05;0.45419;0.45419;0.00015;0.00012;0.45419
2023-05-21 Kl. 05-06;0.42856;0.42856;0.00030;0.00024;0.42856
2023-05-21 Kl. 06-07;0.46700;0.46700;0.01826;0.01461;0.46700
2023-05-21 Kl. 07-08;0.41781;0.41781;0.03785;0.03028;0.41781
2023-05-21 Kl. 08-09;0.30339;0.30339;0.04978;0.03982;0.30339
2023-05-21 Kl. 09-10;0.03240;0.03240;0.03151;0.02521;0.03240
2023-05-21 Kl. 10-11;0.00000;0.00000;0.00000;0.00000;0.00000
2023-05-21 Kl. 11-12;-0.00566;-0.00566;-0.00566;-0.00566;-0.00566
2023-05-21 Kl. 12-13;-0.04536;-0.04536;-0.04536;-0.04536;-0.04536
2023-05-21 Kl. 13-14;-0.05891;-0.05891;-0.05891;-0.05891;-0.05891
2023-05-21 Kl. 14-15;-0.05231;-0.05231;-0.05231;-0.05231;-0.05231
2023-05-21 Kl. 15-16;-0.04124;-0.04124;-0.04124;-0.04124;-0.04124
2023-05-21 Kl. 16-17;-0.00483;-0.00483;-0.00483;-0.00483;-0.00483
2023-05-21 Kl. 17-18;0.07349;0.07349;0.03270;0.02616;0.07349
2023-05-21 Kl. 18-19;0.78689;0.78689;0.07246;0.05797;0.78689
2023-05-21 Kl. 19-20;1.02164;1.02164;0.07260;0.05808;1.02164
2023-05-21 Kl. 20-21;1.10485;1.10485;0.06921;0.05537;1.10485
2023-05-21 Kl. 21-22;1.10765;1.16214;0.06878;0.05502;1.10765
2023-05-21 Kl. 22-23;1.10426;1.17863;0.06318;0.05054;1.10426
2023-05-21 Kl. 23-00;1.09571;1.09984;0.04830;0.03864;1.09571
2023-05-22 Kl. 00-01;1.04299;1.04579;0.05803;0.04642;1.04299
2023-05-22 Kl. 01-02;1.02090;1.02090;0.05846;0.04677;1.02090
2023-05-22 Kl. 02-03;1.01722;1.03430;0.06039;0.04831;1.01722
2023-05-22 Kl. 03-04;1.01751;1.02694;0.05906;0.04725;1.01751
2023-05-22 Kl. 04-05;1.02001;1.04373;0.06465;0.05172;1.02001
2023-05-22 Kl. 05-06;1.03725;1.04358;0.09175;0.07340;1.03725
2023-05-22 Kl. 06-07;1.01914;1.08718;0.19661;0.15729;1.01914
2023-05-22 Kl. 07-08;1.13283;1.13283;0.29484;0.23587;1.13283
2023-05-22 Kl. 08-09;1.29866;1.29866;0.30530;0.24424;1.29866
2023-05-22 Kl. 09-10;1.18614;1.18614;0.30721;0.24577;1.18614
2023-05-22 Kl. 10-11;1.14800;1.14800;0.30250;0.24200;1.14800
2023-05-22 Kl. 11-12;1.05271;1.05271;0.29470;0.23576;1.05271
2023-05-22 Kl. 12-13;0.95654;0.95654;0.29558;0.23646;0.95654
2023-05-22 Kl. 13-14;0.92591;0.92591;0.25390;0.20312;0.92591
2023-05-22 Kl. 14-15;0.97068;0.97068;0.23681;0.18945;0.97068
2023-05-22 Kl. 15-16;0.98674;0.98674;0.21355;0.17084;0.98674
2023-05-22 Kl. 16-17;0.99557;0.99557;0.22548;0.18038;0.99557
2023-05-22 Kl. 17-18;1.03886;1.03886;0.20663;0.16530;1.03886
2023-05-22 Kl. 18-19;1.05065;1.05065;0.20486;0.16389;1.05065
2023-05-22 Kl. 19-20;1.09984;1.09984;0.19145;0.15316;1.09984
2023-05-22 Kl. 20-21;1.08349;1.08349;0.13210;0.10568;1.08349
2023-05-22 Kl. 21-22;1.06759;1.06759;0.09603;0.07682;1.06759
2023-05-22 Kl. 22-23;1.04668;1.04668;0.06834;0.05467;1.04668
2023-05-22 Kl. 23-00;1.03504;1.03504;0.04625;0.03700;1.03504
2023-05-23 Kl. 00-01;1.00924;1.00924;0.04184;0.03347;1.00924
2023-05-23 Kl. 01-02;0.94014;0.94014;0.03389;0.02711;0.94014
2023-05-23 Kl. 02-03;0.93719;0.93719;0.02505;0.02004;0.93719
2023-05-23 Kl. 03-04;0.88856;0.88856;0.02505;0.02004;0.88856
2023-05-23 Kl. 04-05;0.88311;0.88311;0.03536;0.02829;0.88311
2023-05-23 Kl. 05-06;0.88311;0.88311;0.05761;0.04609;0.88311
2023-05-23 Kl. 06-07;1.00820;1.00820;0.12479;0.09983;1.00820
2023-05-23 Kl. 07-08;1.05285;1.05285;0.27080;0.21664;1.05285
2023-05-23 Kl. 08-09;1.09528;1.09528;0.30278;0.24222;1.09528
2023-05-23 Kl. 09-10;1.03236;1.03236;0.30660;0.24528;1.03236
2023-05-23 Kl. 10-11;0.88828;0.88828;0.30071;0.24057;0.88828
2023-05-23 Kl. 11-12;0.66285;0.66285;0.29423;0.23538;0.66285
2023-05-23 Kl. 12-13;0.40399;0.40399;0.27050;0.21640;0.40399
2023-05-23 Kl. 13-14;0.29614;0.29614;0.25591;0.20473;0.29614
2023-05-23 Kl. 14-15;0.08427;0.08427;0.08427;0.06742;0.08427
2023-05-23 Kl. 15-16;0.06380;0.06380;0.06380;0.05104;0.06380
2023-05-23 Kl. 16-17;0.18874;0.18874;0.18093;0.14474;0.18874
2023-05-23 Kl. 17-18;0.79471;0.79471;0.18416;0.14733;0.79471
2023-05-23 Kl. 18-19;0.90271;0.90271;0.19183;0.15346;0.90271
2023-05-23 Kl. 19-20;0.98536;0.98536;0.15294;0.12235;0.98536
2023-05-23 Kl. 20-21;0.99406;0.99406;0.10004;0.08003;0.99406
2023-05-23 Kl. 21-22;1.01100;1.01100;0.07293;0.05834;1.01100
2023-05-23 Kl. 22-23;1.01278;1.01278;0.06070;0.04856;1.01278
2023-05-23 Kl. 23-00;0.94029;0.94029;0.03890;0.03112;0.94029
2023-05-24 Kl. 00-01;0.95109;0.95109;0.03590;0.02872;0.95109
2023-05-24 Kl. 01-02;0.94710;0.94710;0.02231;0.01785;0.94710
2023-05-24 Kl. 02-03;0.95921;0.95921;0.02261;0.01809;0.95921
2023-05-24 Kl. 03-04;0.96868;0.96868;0.02261;0.01809;0.96868
2023-05-24 Kl. 04-05;0.98360;0.98360;0.01906;0.01525;0.98360
2023-05-24 Kl. 05-06;0.97961;0.97961;0.01921;0.01537;0.97961
2023-05-24 Kl. 06-07;1.00458;1.00458;0.03325;0.02660;1.00458
2023-05-24 Kl. 07-08;1.12929;1.12929;0.05319;0.04255;1.12929
2023-05-24 Kl. 08-09;1.27171;1.27171;0.04757;0.03806;1.27171
2023-05-24 Kl. 09-10;1.11716;1.11716;0.02128;0.01702;1.11716
2023-05-24 Kl. 10-11;1.08378;1.08378;0.00015;0.00012;1.08378
2023-05-24 Kl. 11-12;1.10726;1.10726;-0.01265;-0.01265;1.10726
2023-05-24 Kl. 12-13;1.13224;1.14938;-0.02281;-0.02281;1.13224
2023-05-24 Kl. 13-14;1.01980;1.01980;-0.03026;-0.03026;1.01980
2023-05-24 Kl. 14-15;1.07565;1.07565;-0.03050;-0.03050;1.07565
2023-05-24 Kl. 15-16;0.98670;0.98670;-0.03002;-0.03002;0.98670
2023-05-24 Kl. 16-17;0.99630;0.99630;-0.02258;-0.02258;0.99630
2023-05-24 Kl. 17-18;1.01965;1.01965;-0.00473;-0.00473;1.01965
2023-05-24 Kl. 18-19;1.01965;1.01965;-0.00047;-0.00047;1.01965
2023-05-24 Kl. 19-20;1.00488;1.00488;-0.00024;-0.00024;1.00488
2023-05-24 Kl. 20-21;1.00502;1.00502;-0.00012;-0.00012;1.00502
2023-05-24 Kl. 21-22;1.00488;1.00488;0.00000;0.00000;1.00488
2023-05-24 Kl. 22-23;0.99143;0.99143;-0.00142;-0.00142;0.99143
2023-05-24 Kl. 23-00;0.97399;0.97399;-0.02423;-0.02423;0.97399
2023-05-25 Kl. 00-01;0.94424;0.94424;-0.03631;-0.03631;0.94424
2023-05-25 Kl. 01-02;0.88348;0.88348;-0.03903;-0.03903;0.88348
2023-05-25 Kl. 02-03;0.83780;0.83780;-0.03891;-0.03891;0.83780
2023-05-25 Kl. 03-04;0.74510;0.74510;-0.04021;-0.04021;0.74510
2023-05-25 Kl. 04-05;0.71996;0.71996;-0.03891;-0.03891;0.71996
2023-05-25 Kl. 05-06;0.74510;0.74510;-0.02484;-0.02484;0.74510
2023-05-25 Kl. 06-07;0.97691;0.97691;-0.00059;-0.00059;0.97691
2023-05-25 Kl. 07-08;1.00544;1.00544;0.00163;0.00130;1.00544
2023-05-25 Kl. 08-09;1.00944;1.00944;0.01479;0.01183;1.00944
2023-05-25 Kl. 09-10;0.91083;0.91083;0.01050;0.00840;0.91083
2023-05-25 Kl. 10-11;0.86944;0.86944;-0.00047;-0.00047;0.86944
2023-05-25 Kl. 11-12;0.68508;0.68508;-0.01206;-0.01206;0.68508
2023-05-25 Kl. 12-13;0.49880;0.49880;-0.00911;-0.00911;0.49880
2023-05-25 Kl. 13-14;0.20003;0.20003;-0.02259;-0.02259;0.20003
2023-05-25 Kl. 14-15;0.10039;0.10039;-0.02413;-0.02413;0.10039
2023-05-25 Kl. 15-16;0.09979;0.09979;-0.02933;-0.02933;0.09979
2023-05-25 Kl. 16-17;0.17016;0.17016;-0.02436;-0.02436;0.17016
2023-05-25 Kl. 17-18;0.60614;0.60614;-0.01289;-0.01289;0.60614
2023-05-25 Kl. 18-19;0.84430;0.84430;-0.00177;-0.00177;0.84430
2023-05-25 Kl. 19-20;0.87683;0.87683;0.00163;0.00130;0.87683
2023-05-25 Kl. 20-21;0.90950;0.90950;0.02114;0.01691;0.90950
2023-05-25 Kl. 21-22;0.91171;0.91171;0.02735;0.02188;0.91171
2023-05-25 Kl. 22-23;0.91349;0.91349;0.01981;0.01585;0.91349
2023-05-25 Kl. 23-00;0.87698;0.87698;-0.00059;-0.00059;0.87698
2023-05-26 Kl. 00-01;0.87039;0.90029;0.00015;0.00012;0.87039
