Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2023-01-04 Kl. 05-06;1.07374;1.07374;0.98295;0.54127;1.07374
2023-01-04 Kl. 06-07;1.14875;1.14875;0.99031;0.54221;1.14875
2023-01-04 Kl. 07-08;1.38022;1.38022;1.01369;0.59497;1.38022
2023-01-04 Kl. 08-09;1.51029;1.51029;1.03366;0.59960;1.51029
2023-01-04 Kl. 09-10;1.64810;1.64810;1.03748;0.59960;1.64810
2023-01-04 Kl. 10-11;1.66834;1.66834;0.99780;0.59571;1.66834
2023-01-04 Kl. 11-12;1.65992;1.65992;1.03786;0.58930;1.65992
2023-01-04 Kl. 12-13;1.62616;1.62616;1.03813;0.56576;1.62616
2023-01-04 Kl. 13-14;1.60029;1.60029;1.04391;0.56365;1.60029
2023-01-04 Kl. 14-15;1.58176;1.58176;1.04916;0.55430;1.58176
2023-01-04 Kl. 15-16;1.62761;1.62761;1.04759;0.56271;1.62761
2023-01-04 Kl. 16-17;1.66913;1.66913;1.06178;0.54158;1.66913
2023-01-04 Kl. 17-18;1.67031;1.67031;1.13194;0.54137;1.67031
2023-01-04 Kl. 18-19;1.65782;1.65782;0.94959;0.54127;1.65782
2023-01-04 Kl. 19-20;1.62538;1.62538;0.87509;0.54095;1.62538
2023-01-04 Kl. 20-21;1.57795;1.57795;0.81624;0.53980;1.57795
2023-01-04 Kl. 21-22;1.60055;1.60055;0.75225;0.53559;1.60055
2023-01-04 Kl. 22-23;1.51922;1.51922;0.49844;0.39875;1.51922
2023-01-04 Kl. 23-00;1.44448;1.44448;0.40490;0.32392;1.44448
2023-01-05 Kl. 00-01;1.35683;1.35683;0.40230;0.32184;1.35683
2023-01-05 Kl. 01-02;1.29868;1.29868;0.37711;0.30169;1.29868
2023-01-05 Kl. 02-03;1.28930;1.28930;0.37082;0.29666;1.28930
2023-01-05 Kl. 03-04;1.20731;1.20731;0.37190;0.29752;1.20731
2023-01-05 Kl. 04-05;1.33848;1.33848;0.38355;0.30684;1.33848
2023-01-05 Kl. 05-06;1.35683;1.35683;0.53319;0.42655;1.35683
2023-01-05 Kl. 06-07;1.47391;1.47391;0.83998;0.51218;1.47391
2023-01-05 Kl. 07-08;1.61083;1.61083;1.14583;0.52847;1.61083
2023-01-05 Kl. 08-09;1.63615;1.63615;1.19848;0.55098;1.63615
2023-01-05 Kl. 09-10;1.73569;1.73569;1.20504;0.57392;1.73569
2023-01-05 Kl. 10-11;1.82384;1.82384;1.22191;0.57188;1.82384
2023-01-05 Kl. 11-12;1.91668;1.91668;1.17289;0.55516;1.91668
2023-01-05 Kl. 12-13;1.88774;1.88774;1.11984;0.55055;1.88774
2023-01-05 Kl. 13-14;1.91359;1.91359;1.11528;0.55012;1.91359
2023-01-05 Kl. 14-15;2.00148;2.00148;1.11769;0.55366;2.00148
2023-01-05 Kl. 15-16;2.07918;2.07918;1.18348;0.54937;2.07918
2023-01-05 Kl. 16-17;2.24235;2.24235;1.16874;0.54487;2.24235
2023-01-05 Kl. 17-18;2.53279;2.53279;1.09559;0.53062;2.53279
2023-01-05 Kl. 18-19;2.52944;2.52944;1.09960;0.52462;2.52944
2023-01-05 Kl. 19-20;2.30799;2.30799;1.10014;0.52247;2.30799
2023-01-05 Kl. 20-21;2.12660;2.12660;1.08715;0.51872;2.12660
2023-01-05 Kl. 21-22;1.99102;1.99102;1.10911;0.51251;1.99102
2023-01-05 Kl. 22-23;1.89123;1.89123;1.07255;0.50800;1.89123
2023-01-05 Kl. 23-00;1.70139;1.70139;1.03316;0.50361;1.70139
2023-01-06 Kl. 00-01;1.47544;1.47544;0.97086;0.40023;1.47544
2023-01-06 Kl. 01-02;1.39580;1.39580;0.95320;0.40045;1.39580
2023-01-06 Kl. 02-03;1.33316;1.33316;0.94905;0.40055;1.33316
2023-01-06 Kl. 03-04;1.13723;1.13723;0.94638;0.40055;1.13723
2023-01-06 Kl. 04-05;1.13174;1.13174;0.94931;0.42968;1.13174
2023-01-06 Kl. 05-06;1.16051;1.16051;0.95775;0.40055;1.16051
2023-01-06 Kl. 06-07;1.34320;1.34320;0.96418;0.51523;1.34320
2023-01-06 Kl. 07-08;1.48468;1.48468;0.99830;0.52722;1.48468
2023-01-06 Kl. 08-09;1.61544;1.61544;1.11715;0.53760;1.61544
2023-01-06 Kl. 09-10;1.60700;1.60700;1.21579;0.54874;1.60700
2023-01-06 Kl. 10-11;1.56565;1.56565;1.20655;0.55848;1.56565
2023-01-06 Kl. 11-12;1.56578;1.56578;1.21968;0.55698;1.56578
2023-01-06 Kl. 12-13;1.58505;1.58505;1.18915;0.56073;1.58505
2023-01-06 Kl. 13-14;1.55841;1.55841;1.14285;0.56255;1.55841
2023-01-06 Kl. 14-15;1.61463;1.61463;1.10965;0.56619;1.61463
2023-01-06 Kl. 15-16;1.72451;1.72451;1.07271;0.56833;1.72451
2023-01-06 Kl. 16-17;1.81512;1.81512;1.04126;0.55752;1.81512
2023-01-06 Kl. 17-18;2.01721;2.01721;1.01731;0.55013;2.01721
2023-01-06 Kl. 18-19;1.95043;1.95043;1.01101;0.54103;1.95043
2023-01-06 Kl. 19-20;1.89930;1.89930;0.99616;0.53257;1.89930
2023-01-06 Kl. 20-21;1.80762;1.80762;0.99816;0.53064;1.80762
2023-01-06 Kl. 21-22;1.71274;1.71274;0.99321;0.52572;1.71274
2023-01-06 Kl. 22-23;1.68744;1.68744;0.98559;0.52079;1.68744
2023-01-06 Kl. 23-00;1.62346;1.62346;0.96016;0.51662;1.62346
2023-01-07 Kl. 00-01;1.53168;1.53168;0.96684;0.40568;1.53168
2023-01-07 Kl. 01-02;1.37303;1.37303;0.94336;0.40395;1.37303
2023-01-07 Kl. 02-03;1.33445;1.33445;0.94350;0.40201;1.33445
2023-01-07 Kl. 03-04;1.22221;1.22221;0.95038;0.38884;1.22221
2023-01-07 Kl. 04-05;1.15543;1.15543;0.94606;0.38193;1.15543
2023-01-07 Kl. 05-06;1.16366;1.16366;0.94958;0.37632;1.16366
2023-01-07 Kl. 06-07;1.26362;1.26362;0.97911;0.39100;1.26362
2023-01-07 Kl. 07-08;1.42659;1.42659;1.02485;0.40179;1.42659
2023-01-07 Kl. 08-09;1.50901;1.50901;1.05506;0.42607;1.50901
2023-01-07 Kl. 09-10;1.51090;1.51090;1.03105;0.47496;1.51090
2023-01-07 Kl. 10-11;1.44048;1.44048;1.05331;0.47518;1.44048
2023-01-07 Kl. 11-12;1.36520;1.36520;1.06613;0.47582;1.36520
2023-01-07 Kl. 12-13;1.36911;1.36911;1.07989;0.47734;1.36911
2023-01-07 Kl. 13-14;1.34888;1.34888;1.08771;0.47852;1.34888
2023-01-07 Kl. 14-15;1.34794;1.34794;1.08609;0.48068;1.34794
2023-01-07 Kl. 15-16;1.34093;1.34093;1.06491;0.48176;1.34093
2023-01-07 Kl. 16-17;1.34888;1.34888;1.07826;0.48036;1.34888
2023-01-07 Kl. 17-18;1.37006;1.37006;1.06140;0.47885;1.37006
2023-01-07 Kl. 18-19;1.38558;1.38558;1.04980;0.47895;1.38558
2023-01-07 Kl. 19-20;1.31678;1.31678;1.00354;0.47032;1.31678
2023-01-07 Kl. 20-21;1.22315;1.22315;0.90357;0.42963;1.22315
2023-01-07 Kl. 21-22;1.00623;1.00623;0.80928;0.40557;1.00623
2023-01-07 Kl. 22-23;0.87633;0.87633;0.65831;0.39996;0.87633
2023-01-07 Kl. 23-00;0.53245;0.53245;0.48430;0.37557;0.53245
2023-01-08 Kl. 00-01;0.32541;0.32541;0.32541;0.26033;0.32541
2023-01-08 Kl. 01-02;0.12463;0.12463;0.26923;0.21538;0.54950
2023-01-08 Kl. 02-03;0.12503;0.12503;0.21157;0.16926;0.29533
2023-01-08 Kl. 03-04;0.05712;0.05712;0.18574;0.14859;0.28560
2023-01-08 Kl. 04-05;0.07669;0.07669;0.14740;0.11792;0.14740
2023-01-08 Kl. 05-06;0.13634;0.13634;0.24913;0.19930;0.24913
2023-01-08 Kl. 06-07;0.12396;0.12396;0.30956;0.24765;0.30956
2023-01-08 Kl. 07-08;0.22621;0.22621;0.32063;0.25650;0.32063
2023-01-08 Kl. 08-09;0.68145;0.68145;0.36056;0.28845;0.68145
2023-01-08 Kl. 09-10;1.13549;1.13549;0.38719;0.30975;1.13549
2023-01-08 Kl. 10-11;1.28754;1.28754;0.46895;0.37516;1.28754
2023-01-08 Kl. 11-12;1.41589;1.41589;0.62579;0.39742;1.41589
2023-01-08 Kl. 12-13;1.39725;1.39725;0.62579;0.39806;1.39725
2023-01-08 Kl. 13-14;1.36036;1.36036;0.65189;0.39774;1.36036
2023-01-08 Kl. 14-15;1.43174;1.43174;0.73111;0.37558;1.43174
2023-01-08 Kl. 15-16;1.42401;1.42401;0.84535;0.37526;1.42401
2023-01-08 Kl. 16-17;1.49151;1.49151;0.88024;0.37505;1.49151
2023-01-08 Kl. 17-18;1.57168;1.57168;0.92125;0.37494;1.57168
2023-01-08 Kl. 18-19;1.58605;1.58605;0.93084;0.36791;1.58605
2023-01-08 Kl. 19-20;1.49924;1.49924;0.87371;0.35343;1.49924
2023-01-08 Kl. 20-21;1.42814;1.42814;0.81194;0.37484;1.42814
2023-01-08 Kl. 21-22;1.35251;1.35251;0.76440;0.35630;1.35251
2023-01-08 Kl. 22-23;1.36264;1.36264;0.66600;0.33830;1.36264
2023-01-08 Kl. 23-00;1.11884;1.11884;0.61634;0.33223;1.11884
2023-01-09 Kl. 00-01;1.03336;1.03336;0.91925;0.51704;1.03336
2023-01-09 Kl. 01-02;0.95746;0.95746;0.85720;0.51906;0.95746
2023-01-09 Kl. 02-03;0.82911;0.82911;0.80261;0.51725;0.82911
2023-01-09 Kl. 03-04;0.65363;0.65363;0.52474;0.41979;0.65363
2023-01-09 Kl. 04-05;0.98529;0.98529;0.63033;0.50426;0.98529
2023-01-09 Kl. 05-06;1.24320;1.24320;0.91859;0.51384;1.24320
2023-01-09 Kl. 06-07;1.46929;1.46929;1.10126;0.52130;1.46929
2023-01-09 Kl. 07-08;1.70909;1.70909;1.08809;0.54037;1.70909
2023-01-09 Kl. 08-09;1.96153;1.96153;1.09980;0.55943;1.96153
2023-01-09 Kl. 09-10;2.14448;2.14448;1.10513;0.57168;2.14448
2023-01-09 Kl. 10-11;2.05234;2.05234;1.10046;0.56593;2.05234
2023-01-09 Kl. 11-12;2.06791;2.06791;1.10579;0.57349;2.06791
2023-01-09 Kl. 12-13;1.81732;1.81732;1.10406;0.52119;1.81732
2023-01-09 Kl. 13-14;1.78365;1.78365;1.10246;0.44929;1.78365
2023-01-09 Kl. 14-15;1.85235;1.85235;1.10073;0.49105;1.85235
2023-01-09 Kl. 15-16;1.94915;1.94915;1.10553;0.49520;1.94915
2023-01-09 Kl. 16-17;2.08841;2.08841;1.09726;0.49254;2.08841
2023-01-09 Kl. 17-18;2.19268;2.19268;1.08342;0.49201;2.19268
2023-01-09 Kl. 18-19;2.17484;2.17484;1.06798;0.49009;2.17484
2023-01-09 Kl. 19-20;2.09974;2.09974;1.06744;0.48860;2.09974
2023-01-09 Kl. 20-21;1.93158;1.93158;1.09608;0.49083;1.93158
2023-01-09 Kl. 21-22;1.79256;1.79256;1.09394;0.49297;1.79256
2023-01-09 Kl. 22-23;1.70575;1.70575;1.06065;0.45302;1.70575
2023-01-09 Kl. 23-00;1.48979;1.48979;1.04361;0.42522;1.48979
2023-01-10 Kl. 00-01;1.44879;1.44879;0.93118;0.37422;1.44879
2023-01-10 Kl. 01-02;1.32431;1.32431;0.92919;0.37422;1.32431
2023-01-10 Kl. 02-03;1.30139;1.30139;0.93158;0.37411;1.30139
2023-01-10 Kl. 03-04;1.23618;1.23618;0.93290;0.37411;1.23618
2023-01-10 Kl. 04-05;1.32431;1.32431;0.94085;0.37432;1.32431
2023-01-10 Kl. 05-06;1.48524;1.48524;0.96166;0.37443;1.48524
2023-01-10 Kl. 06-07;1.75829;1.75829;0.98989;0.41897;1.75829
2023-01-10 Kl. 07-08;1.98747;1.98747;1.22941;0.39702;1.98747
2023-01-10 Kl. 08-09;2.12784;2.12784;1.32034;0.40391;2.12784
2023-01-10 Kl. 09-10;2.06475;2.06475;1.29184;0.41992;2.06475
2023-01-10 Kl. 10-11;1.98747;1.98747;1.30191;0.42342;1.98747
2023-01-10 Kl. 11-12;1.88104;1.88104;1.38304;0.43339;1.88104
2023-01-10 Kl. 12-13;1.85664;1.85664;1.45236;0.41377;1.85664
