Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2020-01-04 Kl. 05-06;0.33798;0.33798;0.23254;0.18603;0.33798
2020-01-04 Kl. 06-07;0.34154;0.34154;0.24286;0.19429;0.34154
2020-01-04 Kl. 07-08;0.34560;0.34560;0.26514;0.21211;0.34560
2020-01-04 Kl. 08-09;0.35151;0.35151;0.27486;0.21989;0.35151
2020-01-04 Kl. 09-10;0.35323;0.35323;0.29750;0.23800;0.35323
2020-01-04 Kl. 10-11;0.35459;0.35459;0.30685;0.24548;0.35459
2020-01-04 Kl. 11-12;0.35483;0.35483;0.30894;0.24715;0.35483
2020-01-04 Kl. 12-13;0.35421;0.35421;0.30685;0.24548;0.35421
2020-01-04 Kl. 13-14;0.35385;0.35385;0.30698;0.24558;0.35385
2020-01-04 Kl. 14-15;0.35421;0.35421;0.31066;0.24853;0.35421
2020-01-04 Kl. 15-16;0.35556;0.35556;0.32395;0.25916;0.35556
2020-01-04 Kl. 16-17;0.35693;0.35693;0.33662;0.26930;0.35693
2020-01-04 Kl. 17-18;0.35754;0.35754;0.35533;0.28426;0.35754
2020-01-04 Kl. 18-19;0.36394;0.36394;0.36394;0.28632;0.36394
2020-01-04 Kl. 19-20;0.36394;0.36394;0.36196;0.28554;0.36394
2020-01-04 Kl. 20-21;0.36861;0.36861;0.34093;0.27274;0.36861
2020-01-04 Kl. 21-22;0.36971;0.36971;0.33711;0.26969;0.36971
2020-01-04 Kl. 22-23;0.37021;0.37021;0.33674;0.26939;0.37021
2020-01-04 Kl. 23-00;0.37931;0.37931;0.31706;0.25365;0.37931
2020-01-05 Kl. 00-01;0.39505;0.39505;0.32860;0.26288;0.39505
2020-01-05 Kl. 01-02;0.38531;0.38531;0.33451;0.26761;0.38531
2020-01-05 Kl. 02-03;0.38174;0.38174;0.33426;0.26741;0.38174
2020-01-05 Kl. 03-04;0.37286;0.37286;0.33809;0.27047;0.37286
2020-01-05 Kl. 04-05;0.36941;0.36941;0.34598;0.27461;0.36941
2020-01-05 Kl. 05-06;0.36854;0.36854;0.35573;0.27501;0.36854
2020-01-05 Kl. 06-07;0.37459;0.37459;0.36077;0.27560;0.37459
2020-01-05 Kl. 07-08;0.37409;0.37409;0.36965;0.27560;0.37409
2020-01-05 Kl. 08-09;0.38297;0.38297;0.38297;0.27599;0.38297
2020-01-05 Kl. 09-10;0.38445;0.38445;0.38445;0.28537;0.38445
2020-01-05 Kl. 10-11;0.38963;0.38963;0.38963;0.29109;0.38963
2020-01-05 Kl. 11-12;0.38901;0.38901;0.38901;0.29188;0.38901
2020-01-05 Kl. 12-13;0.38494;0.38494;0.38494;0.29345;0.38494
2020-01-05 Kl. 13-14;0.38136;0.38136;0.38136;0.29454;0.38136
2020-01-05 Kl. 14-15;0.37816;0.37816;0.37816;0.29513;0.37816
2020-01-05 Kl. 15-16;0.37964;0.37964;0.37964;0.29582;0.37964
2020-01-05 Kl. 16-17;0.38420;0.38420;0.38420;0.29543;0.38420
2020-01-05 Kl. 17-18;0.38876;0.38876;0.38876;0.29513;0.38876
2020-01-05 Kl. 18-19;0.38346;0.38346;0.38346;0.29355;0.38346
2020-01-05 Kl. 19-20;0.37508;0.37508;0.37508;0.29326;0.37508
2020-01-05 Kl. 20-21;0.36830;0.36830;0.36830;0.29395;0.36830
2020-01-05 Kl. 21-22;0.36509;0.36509;0.36053;0.28842;0.36509
2020-01-05 Kl. 22-23;0.36324;0.36324;0.34721;0.27777;0.36324
2020-01-05 Kl. 23-00;0.36399;0.36399;0.32896;0.26317;0.36399
2020-01-06 Kl. 00-01;0.35954;0.35954;0.32576;0.26061;0.35954
2020-01-06 Kl. 01-02;0.35844;0.35844;0.32675;0.26140;0.35844
2020-01-06 Kl. 02-03;0.35856;0.35856;0.33304;0.26643;0.35856
2020-01-06 Kl. 03-04;0.35338;0.35338;0.33365;0.26692;0.35338
2020-01-06 Kl. 04-05;0.35856;0.35856;0.33328;0.26662;0.35856
2020-01-06 Kl. 05-06;0.36559;0.36559;0.34055;0.27244;0.36559
2020-01-06 Kl. 06-07;0.37865;0.37865;0.34721;0.27777;0.37865
2020-01-06 Kl. 07-08;0.38124;0.38124;0.35856;0.28685;0.38124
2020-01-06 Kl. 08-09;0.38100;0.38100;0.36658;0.29326;0.38100
2020-01-06 Kl. 09-10;0.38075;0.38075;0.37631;0.30105;0.38075
2020-01-06 Kl. 10-11;0.38371;0.38371;0.38371;0.30697;0.38371
2020-01-06 Kl. 11-12;0.38506;0.38506;0.38506;0.30805;0.38506
2020-01-06 Kl. 12-13;0.38458;0.38458;0.38458;0.30766;0.38458
2020-01-06 Kl. 13-14;0.38321;0.38321;0.38321;0.30657;0.38321
2020-01-06 Kl. 14-15;0.38483;0.38483;0.38483;0.30786;0.38483
2020-01-06 Kl. 15-16;0.38593;0.38593;0.38593;0.30874;0.38593
2020-01-06 Kl. 16-17;0.39160;0.39160;0.39160;0.31328;0.39160
2020-01-06 Kl. 17-18;0.39135;0.39135;0.39135;0.31308;0.39135
2020-01-06 Kl. 18-19;0.38605;0.38605;0.38605;0.30884;0.38605
2020-01-06 Kl. 19-20;0.38161;0.38161;0.38161;0.30529;0.38161
2020-01-06 Kl. 20-21;0.37705;0.37705;0.37705;0.30164;0.37705
2020-01-06 Kl. 21-22;0.37335;0.37335;0.37335;0.29868;0.37335
2020-01-06 Kl. 22-23;0.36324;0.36324;0.36324;0.29059;0.36324
2020-01-06 Kl. 23-00;0.35844;0.35844;0.34759;0.27807;0.35844
2020-01-07 Kl. 00-01;0.34826;0.34826;0.33447;0.26758;0.34826
2020-01-07 Kl. 01-02;0.34900;0.34900;0.33349;0.26679;0.34900
2020-01-07 Kl. 02-03;0.35060;0.35060;0.33275;0.26620;0.35060
2020-01-07 Kl. 03-04;0.34618;0.34618;0.33225;0.26580;0.34618
2020-01-07 Kl. 04-05;0.35344;0.35344;0.33471;0.26777;0.35344
2020-01-07 Kl. 05-06;0.36280;0.36280;0.34641;0.27713;0.36280
2020-01-07 Kl. 06-07;0.36895;0.36895;0.34740;0.27792;0.36895
