Delivery Start (CET);Delivery End (CET);DK1 Accepted Down Volume (MW);DK1 Accepted Up Volume (MW);DK1 Activated Down Volume (MW);DK1 Activated Up Volume (MW);DK1 Down Price (EUR);DK1 Imbalance Price (EUR);DK1 Up Price (EUR);DK2 Accepted Down Volume (MW);DK2 Accepted Up Volume (MW);DK2 Activated Down Volume (MW);DK2 Activated Up Volume (MW);DK2 Down Price (EUR);DK2 Imbalance Price (EUR);DK2 Up Price (EUR);FI Accepted Down Volume (MW);FI Accepted Up Volume (MW);FI Activated Down Volume (MW);FI Activated Up Volume (MW);FI Down Price (EUR);FI Imbalance Price (EUR);FI Up Price (EUR);SE1 Accepted Down Volume (MW);SE1 Accepted Up Volume (MW);SE1 Activated Down Volume (MW);SE1 Activated Up Volume (MW);SE1 Down Price (EUR);SE1 Imbalance Price (EUR);SE1 Up Price (EUR);SE2 Accepted Down Volume (MW);SE2 Accepted Up Volume (MW);SE2 Activated Down Volume (MW);SE2 Activated Up Volume (MW);SE2 Down Price (EUR);SE2 Imbalance Price (EUR);SE2 Up Price (EUR);SE3 Accepted Down Volume (MW);SE3 Accepted Up Volume (MW);SE3 Activated Down Volume (MW);SE3 Activated Up Volume (MW);SE3 Down Price (EUR);SE3 Imbalance Price (EUR);SE3 Up Price (EUR);SE4 Accepted Down Volume (MW);SE4 Accepted Up Volume (MW);SE4 Activated Down Volume (MW);SE4 Activated Up Volume (MW);SE4 Down Price (EUR);SE4 Imbalance Price (EUR);SE4 Up Price (EUR)
01.01.2024 00:00:00;01.01.2024 01:00:00;1180;1262;0;118;16.99;55;55;231;1148;0;0;29.13;55;55;;;;;;;;583;2085;0;50;29.56;55;55;418;1628;0;96;29.56;55;55;100;385;0;0;29.56;55;55;141;8;0;0;29.56;55;55
01.01.2024 00:00:00;01.01.2024 00:15:00;;;;;;;;;;;;;;;665;1915;0;0;38.37;55;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2024 00:15:00;01.01.2024 00:30:00;;;;;;;;;;;;;;;665;1915;0;0;38.37;55;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2024 00:30:00;01.01.2024 00:45:00;;;;;;;;;;;;;;;665;1915;0;35;38.37;55;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2024 00:45:00;01.01.2024 01:00:00;;;;;;;;;;;;;;;665;1915;0;52;38.37;55;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2024 01:00:00;01.01.2024 02:00:00;1178;1239;0;221;28.14;53.87;53.87;202;926;0;0;28.46;53.87;53.87;;;;;;;;578;2089;0;81;28.46;53.87;53.87;375;1636;0;143;28.46;53.87;53.87;100;385;0;0;28.46;53.87;53.87;107;8;0;0;28.46;53.87;53.87
01.01.2024 01:00:00;01.01.2024 01:15:00;;;;;;;;;;;;;;;707;1949;0;112;28.46;53.87;53.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2024 01:15:00;01.01.2024 01:30:00;;;;;;;;;;;;;;;707;1949;0;112;28.46;53.87;53.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2024 01:30:00;01.01.2024 01:45:00;;;;;;;;;;;;;;;707;1949;0;112;28.46;53.87;53.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2024 01:45:00;01.01.2024 02:00:00;;;;;;;;;;;;;;;707;1949;0;112;28.46;53.87;53.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2024 02:00:00;01.01.2024 03:00:00;1153;1059;0;41;26.66;53.87;53.87;205;925;0;0;26.66;53.87;53.87;;;;;;;;590;2112;0;41;26.66;53.87;53.87;380;1668;0;73;26.66;53.87;53.87;100;385;0;0;26.66;53.87;53.87;103;8;0;0;26.66;53.87;53.87
01.01.2024 02:00:00;01.01.2024 02:15:00;;;;;;;;;;;;;;;716;1967;0;122;26.66;53.87;53.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2024 02:15:00;01.01.2024 02:30:00;;;;;;;;;;;;;;;716;1967;0;122;26.66;53.87;53.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2024 02:30:00;01.01.2024 02:45:00;;;;;;;;;;;;;;;716;1967;0;79;26.66;53.87;53.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;
