sim_name,sim_date,simulation_day,bidding_zone,run_id,elapsed_time,f,Ran Successfully,Reached Weightgoal,eps,DLI_avg,DLI variance,DLI_max,DLI_min,Final fresh weight,Costs,CM Earnings Up,CM Earnings Down,CM Earnings,AM Earnings Up,AM Earnings Down,AM Earnings,Total,Cost Reduction,Termination Message
Batch8_trimmedprices_MPC_7day_2024_04_01_NO2_est_actrate025,2025-06-12 09:49:07,2024-04-01,NO2,complete_MPC,180.2764675617218,7491107.527289579,True,False,0.0307350169554148,10.829737121033435,0.9863507220091026,12.87894285544197,9.126059646804684,22.28337525560616,3407.400247166161,101.63141523334778,51.34763848962913,152.97905372297691,21.51006811702607,-34.45795173887872,-12.94788362185265,3267.369077065037,19.51%,
Batch8_trimmedprices_MPC_7day_2024_04_01_SE1_est_actrate025,2025-06-12 09:52:15,2024-04-01,SE1,complete_MPC,163.0168914794922,7798501.763443417,True,False,0.0865867441546832,11.15471652911228,0.8709391276149578,12.81075459886572,9.652687691199596,22.227523528406888,2645.824609127916,209.09131429119344,1227.9722262907244,1437.0635405819178,15.758925233655988,-80.40236803741834,-64.64344280376235,1273.4045113497607,60.49%,
Batch8_trimmedprices_MPC_7day_2024_04_01_DK1_est_actrate025,2025-06-12 09:55:05,2024-04-01,DK1,complete_MPC,183.12749552726743,7817769.2845116975,True,True,0.0,11.339547861086723,1.1257925891828575,12.925578802678658,9.5401428596844,22.31929663838172,3105.4794860573584,13.090126463403932,0.0,13.090126463403932,53.97781690585815,-138.12925850314315,-84.151441597285,3176.54080119124,21.65%,
Batch8_trimmedprices_MPC_7day_2024_04_01_FI_est_actrate025,2025-06-12 09:58:15,2024-04-01,FI,complete_MPC,230.78378915786743,7903867.382761481,True,False,0.2448802999871802,11.119887719789244,0.7343502683241632,12.613446668194747,9.930729428884064,22.06922997257439,2593.6735371789773,0.0,0.0,0.0,34.691030900282904,-71.10486497296552,-36.41383407268261,2630.08737125166,26.70%,
Batch8_trimmedprices_MPC_7day_2024_04_08_NO2_est_actrate025,2025-06-12 10:02:18,2024-04-08,NO2,complete_MPC,199.70723152160645,7909898.3895240305,True,True,0.0,11.307160450731176,0.8786316500290787,13.572875243347756,10.16101693317908,22.3360463041862,2286.8864298512085,98.18541045959012,73.75670657630637,171.9421170358965,7.507992152599285,-70.12147967594863,-62.61348752334935,2177.5578003386613,18.95%,
Batch8_trimmedprices_MPC_7day_2024_04_08_SE1_est_actrate025,2025-06-12 10:05:46,2024-04-08,SE1,complete_MPC,205.22053027153007,8102818.377666891,True,True,0.0,11.50350619996839,0.4829038850872763,13.558667774967455,10.92643013758331,22.5219921085002,900.333833630106,259.62272222910906,739.011703823908,998.634426053017,24.664480275898377,-85.82476726876546,-61.16028699286708,-37.14030543004392,102.67%,
Batch8_trimmedprices_MPC_7day_2024_04_08_DK1_est_actrate025,2025-06-12 10:09:20,2024-04-08,DK1,complete_MPC,208.91646790504456,7949384.683203067,True,True,0.0,11.594911373382768,0.5934726781632083,12.791860236006656,10.291915781737472,22.50184812195127,1570.5651347820608,11.733687929724184,0.0,11.733687929724184,30.226040501573376,-185.45394174797147,-155.2279012463981,1714.0593480987343,26.47%,
Batch8_trimmedprices_MPC_7day_2024_04_08_FI_est_actrate025,2025-06-12 10:12:56,2024-04-08,FI,complete_MPC,170.4211835861206,8090134.564745483,True,True,0.0,11.605048095243358,1.0305946750269723,13.37388534037988,10.090163106469523,22.453137555005974,1041.5081418481518,0.0,0.0,0.0,22.554526665004687,-78.64763942734193,-56.09311276233724,1097.6012546104891,36.14%,
Batch8_trimmedprices_MPC_7day_2024_04_15_NO2_est_actrate025,2025-06-12 10:15:59,2024-04-15,NO2,complete_MPC,161.67218899726868,8081379.252009765,True,True,0.0,11.519741238201629,0.748689552116688,12.944689644358633,10.134484012055538,22.97287739497733,4177.295243447455,107.53952371725627,36.461633277814855,144.00115699507114,8.051062726325044,-143.9043309246278,-135.85326819830274,4169.147354650686,14.80%,
Batch8_trimmedprices_MPC_7day_2024_04_15_SE1_est_actrate025,2025-06-12 10:18:48,2024-04-15,SE1,complete_MPC,170.880136013031,8129040.116996978,True,False,0.0684695037906415,11.38317203583709,0.6441342393504966,13.27695406327037,10.072807892480448,22.24564076877093,3652.1770697148377,128.48293901650925,318.36390283462464,446.8468418511339,20.127541821444748,-124.32671003918256,-104.19916821773782,3309.529396081441,25.86%,
