sim_name,sim_date,simulation_day,bidding_zone,run_id,elapsed_time,f,Ran Successfully,Reached Weightgoal,eps,DLI_avg,DLI variance,DLI_max,DLI_min,Final fresh weight,Costs,CM Earnings,AM Earnings,Total,Cost Reduction,Termination Message
Batch4_MPC_7day_2024_04_01_NO2_est_actrate1,2025-05-26 19:11:00,2024-04-01,NO2,complete_MPC,134.2081708908081,1716547.4875424944,True,False,1.716033664695118,10.48298369157634,11.430046540051311,14.97492709342808,5.253814336363206,20.598076607866453,3746.4359757509087,920.7057684060526,1770.0869847866477,1055.643222558209,73.99%,
Batch4_MPC_7day_2024_04_01_SE1_est_actrate1,2025-05-26 19:13:22,2024-04-01,SE1,complete_MPC,199.66562128067017,764097.5911524311,True,False,0.7665677117965721,10.74334563257828,13.262084254660866,16.79510210978863,4.8890948750588805,21.547542560765,3219.5165006481097,3370.98805409422,1877.481947830588,-2028.9535012766976,162.96%,
Batch4_MPC_7day_2024_04_01_DK1_est_actrate1,2025-05-26 19:16:48,2024-04-01,DK1,complete_MPC,156.83036398887634,1102000.6789624933,True,False,1.099968742544032,10.607974537064628,7.839941183346763,13.771023906267873,4.384372945351437,21.21414153001754,3603.292280898662,25.78403040962874,1495.5556069082545,2081.9526435807784,48.65%,
Batch4_MPC_7day_2024_04_01_FI_est_actrate1,2025-05-26 19:19:32,2024-04-01,FI,complete_MPC,136.19736886024475,140225.362857778,True,False,0.1382757379731103,11.487071174720748,4.5069160076887975,14.347299683466282,7.120455803598965,22.17583453458846,3060.3817696666124,0.0,638.3160826365797,2422.0656870300327,32.50%,
Batch4_MPC_7day_2024_04_08_NO2_est_actrate1,2025-05-26 19:22:01,2024-04-08,NO2,complete_MPC,180.9332194328308,1387025.1535330468,True,False,1.3888932072063405,11.21059482879453,3.6390580041039033,15.131340687155223,7.3250908031913085,20.92521706535523,2865.398836185741,894.134375828058,969.1740302971718,1002.0904300605112,62.70%,
Batch4_MPC_7day_2024_04_08_SE1_est_actrate1,2025-05-26 19:25:10,2024-04-08,SE1,complete_MPC,260.8425662517548,8186.912300004507,True,False,0.0103604312797855,11.811093708736328,3.001546255867877,14.412137416991907,9.521397550049125,22.303749841281785,1611.34137965401,4656.154944515765,811.3703577574372,-3856.183922619192,377.39%,
Batch4_MPC_7day_2024_04_08_DK1_est_actrate1,2025-05-26 19:29:38,2024-04-08,DK1,complete_MPC,166.92560505867004,1053.2223465186216,True,True,0.0,11.63322882334822,2.215843541042199,13.980622580537558,8.707882720947545,22.69902780252775,2066.687058950368,16.668599983603034,547.1670853041021,1502.8513736626626,35.53%,
Batch4_MPC_7day_2024_04_08_FI_est_actrate1,2025-05-26 19:32:32,2024-04-08,FI,complete_MPC,144.70600414276123,462390.8080529891,True,False,0.4616790280320622,11.633571651570149,6.208188919031146,15.537713406358897,6.366757764393896,21.85243124452951,1375.5306105770378,0.0,433.4690162338698,942.061594343168,45.19%,
Batch4_MPC_7day_2024_04_15_NO2_est_actrate1,2025-05-26 19:35:10,2024-04-15,NO2,complete_MPC,136.80943536758423,2726.2110100639184,True,True,0.0,12.542010305091717,5.408437932162376,16.43999093062599,9.361068776312472,23.90270645154629,5394.896267864547,812.058048687859,1621.7779805839864,2961.0602385927014,39.49%,
Batch4_MPC_7day_2024_04_15_SE1_est_actrate1,2025-05-26 19:37:34,2024-04-15,SE1,complete_MPC,181.9684031009674,1476.9507339184072,True,True,0.0,12.164635602438274,8.732734875218778,15.96006718209678,7.659228304185234,22.398324029658653,4649.168121563845,2184.429340484227,1602.040567616412,862.6982134632055,80.67%,
