sim_name,sim_date,simulation_day,bidding_zone,run_id,elapsed_time,f,Ran Successfully,Reached Weightgoal,eps,DLI_avg,DLI variance,DLI_max,DLI_min,Final fresh weight,Costs,CM Earnings,AM Earnings,Total,Cost Reduction
Batch_MPC_7day_2024_04_01_NO2_est,2025-05-22 21:18:17,2024-04-01,NO2,complete_MPC,146.6287877559662,76324.13916241047,True,False,0.0751183378398501,11.537644401174823,8.319104105873079,16.26302544750056,6.788252011020369,22.23899193472172,4085.886384557942,1028.1785913740737,1120.7361424872531,1936.9716506966151,52.28%
Batch_MPC_7day_2024_04_01_SE1_est,2025-05-22 21:21:09,2024-04-01,SE1,complete_MPC,120.07376217842102,143662.919894176,True,False,0.1452653505100656,11.41294914435628,6.592982758937761,15.555090410658806,7.793216450522541,22.168844922051505,3327.0790253736923,3139.555143778848,1351.1667548010523,-1163.6428732062084,136.11%
Batch_MPC_7day_2024_04_01_DK1_est,2025-05-22 21:23:55,2024-04-01,DK1,complete_MPC,112.57895231246948,2594.668368482168,True,True,0.0,11.463731146361024,8.342660288403534,15.110225567731078,5.713977192267436,22.56946127313528,4042.539961434161,18.46230755595931,1406.0525315152909,2618.025122362911,35.43%
Batch_MPC_7day_2024_04_01_FI_est,2025-05-22 21:26:49,2024-04-01,FI,complete_MPC,301.6967463493347,2475.812798691186,True,True,0.0,11.831871877945687,3.4722078400708583,15.410139604028233,9.466373884126044,22.34497688902569,3311.371593733641,0.0,447.7784444197046,2863.593149313937,20.20%
Batch_MPC_7day_2024_04_08_NO2_est,2025-05-22 21:33:13,2024-04-08,NO2,complete_MPC,273.1310951709748,-2071.687835100112,True,True,0.0,12.870952074928304,3.0337124532881927,15.354316908121389,10.087743397807287,23.792973170487336,3231.874327783323,869.6052400326328,996.6368100038098,1365.6322777468804,49.17%
Batch_MPC_7day_2024_04_08_SE1_est,2025-05-22 21:39:26,2024-04-08,SE1,complete_MPC,219.6039109230041,-1660.681043112844,True,True,0.0,12.445751721158352,5.766601710799936,16.103634639927428,8.645233745060786,22.90784990409784,1666.1383828267574,3508.4628674016026,800.5634915413415,-2642.8879761161866,290.11%
Batch_MPC_7day_2024_04_08_DK1_est,2025-05-22 21:45:04,2024-04-08,DK1,complete_MPC,11.687496662139893,22314486.821989343,False,False,22.31411027256157,0.0,0.0,0.0,0.0,0.0,423.4591166620359,6.544296726557927,124.28147143449895,292.63334850097897,87.45%
Batch_MPC_7day_2024_04_08_FI_est,2025-05-22 21:47:35,2024-04-08,FI,complete_MPC,159.0177686214447,701.0353192588083,True,True,0.0,12.132456581790931,4.025181063176588,14.834080811619875,8.144743363861174,22.952975874641663,1469.039802602727,0.0,392.4685993628588,1076.5712032398685,37.37%
Batch_MPC_7day_2024_04_15_NO2_est,2025-05-22 21:52:54,2024-04-15,NO2,complete_MPC,180.25210189819336,3175.0907820263674,True,True,0.0,12.809105169890916,5.225400634256601,15.15674741124532,7.558407295412479,23.54431989204658,5412.259512149543,745.7549264983458,1499.4190976992604,3167.085487951937,35.28%
Batch_MPC_7day_2024_04_15_SE1_est,2025-05-22 21:58:52,2024-04-15,SE1,complete_MPC,136.53355646133423,22316268.16023994,False,False,22.31411027256157,-0.6792733083271357,921.5062324966524,16.828020316725926,-74.009455552949,0.0,4134.025382102339,1960.659344804486,951.58823371936,1221.7778035784927,72.63%
