AREA,'ISP','Reserve Type','Type of Product','Direction','Offered','Activated','Unavailable'
NO1 SCA,'12.09.2023 05:45 - 12.09.2023 06:00 (CET/CEST)','mFRR','Local','Up','428','0',''
NO1 SCA,'12.09.2023 05:45 - 12.09.2023 06:00 (CET/CEST)','mFRR','Local','Down','30','0',''
NO1 SCA,'12.09.2023 06:00 - 12.09.2023 06:15 (CET/CEST)','mFRR','Local','Up','316','0',''
NO1 SCA,'12.09.2023 06:00 - 12.09.2023 06:15 (CET/CEST)','mFRR','Local','Down','52','0',''
NO1 SCA,'12.09.2023 06:15 - 12.09.2023 06:30 (CET/CEST)','mFRR','Local','Up','316','85',''
NO1 SCA,'12.09.2023 06:15 - 12.09.2023 06:30 (CET/CEST)','mFRR','Local','Down','52','0',''
NO1 SCA,'12.09.2023 06:30 - 12.09.2023 06:45 (CET/CEST)','mFRR','Local','Up','316','85',''
NO1 SCA,'12.09.2023 06:30 - 12.09.2023 06:45 (CET/CEST)','mFRR','Local','Down','52','0',''
NO1 SCA,'12.09.2023 06:45 - 12.09.2023 07:00 (CET/CEST)','mFRR','Local','Up','316','85',''
NO1 SCA,'12.09.2023 06:45 - 12.09.2023 07:00 (CET/CEST)','mFRR','Local','Down','52','0',''
NO1 SCA,'12.09.2023 07:00 - 12.09.2023 07:15 (CET/CEST)','mFRR','Local','Up','175','0',''
NO1 SCA,'12.09.2023 07:00 - 12.09.2023 07:15 (CET/CEST)','mFRR','Local','Down','117','0',''
NO1 SCA,'12.09.2023 07:15 - 12.09.2023 07:30 (CET/CEST)','mFRR','Local','Up','175','0',''
NO1 SCA,'12.09.2023 07:15 - 12.09.2023 07:30 (CET/CEST)','mFRR','Local','Down','117','0',''
NO1 SCA,'12.09.2023 07:30 - 12.09.2023 07:45 (CET/CEST)','mFRR','Local','Up','175','0',''
NO1 SCA,'12.09.2023 07:30 - 12.09.2023 07:45 (CET/CEST)','mFRR','Local','Down','117','0',''
NO1 SCA,'12.09.2023 07:45 - 12.09.2023 08:00 (CET/CEST)','mFRR','Local','Up','175','0',''
NO1 SCA,'12.09.2023 07:45 - 12.09.2023 08:00 (CET/CEST)','mFRR','Local','Down','117','0',''
NO1 SCA,'12.09.2023 08:00 - 12.09.2023 08:15 (CET/CEST)','mFRR','Local','Up','146','0',''
NO1 SCA,'12.09.2023 08:00 - 12.09.2023 08:15 (CET/CEST)','mFRR','Local','Down','99','0',''
NO1 SCA,'12.09.2023 08:15 - 12.09.2023 08:30 (CET/CEST)','mFRR','Local','Up','146','0',''
NO1 SCA,'12.09.2023 08:15 - 12.09.2023 08:30 (CET/CEST)','mFRR','Local','Down','99','0',''
NO1 SCA,'12.09.2023 08:30 - 12.09.2023 08:45 (CET/CEST)','mFRR','Local','Up','146','0',''
NO1 SCA,'12.09.2023 08:30 - 12.09.2023 08:45 (CET/CEST)','mFRR','Local','Down','99','69',''
NO1 SCA,'12.09.2023 08:45 - 12.09.2023 09:00 (CET/CEST)','mFRR','Local','Up','146','0',''
NO1 SCA,'12.09.2023 08:45 - 12.09.2023 09:00 (CET/CEST)','mFRR','Local','Down','99','69',''
NO1 SCA,'12.09.2023 09:00 - 12.09.2023 09:15 (CET/CEST)','mFRR','Local','Up','131','0',''
NO1 SCA,'12.09.2023 09:00 - 12.09.2023 09:15 (CET/CEST)','mFRR','Local','Down','125','0',''
NO1 SCA,'12.09.2023 09:15 - 12.09.2023 09:30 (CET/CEST)','mFRR','Local','Up','131','0',''
NO1 SCA,'12.09.2023 09:15 - 12.09.2023 09:30 (CET/CEST)','mFRR','Local','Down','125','0',''
NO1 SCA,'12.09.2023 09:30 - 12.09.2023 09:45 (CET/CEST)','mFRR','Local','Up','131','0',''
NO1 SCA,'12.09.2023 09:30 - 12.09.2023 09:45 (CET/CEST)','mFRR','Local','Down','125','0',''
NO1 SCA,'12.09.2023 09:45 - 12.09.2023 10:00 (CET/CEST)','mFRR','Local','Up','131','0',''
NO1 SCA,'12.09.2023 09:45 - 12.09.2023 10:00 (CET/CEST)','mFRR','Local','Down','125','0',''
NO1 SCA,'12.09.2023 10:00 - 12.09.2023 10:15 (CET/CEST)','mFRR','Local','Up','130','0',''
NO1 SCA,'12.09.2023 10:00 - 12.09.2023 10:15 (CET/CEST)','mFRR','Local','Down','112','0',''
NO1 SCA,'12.09.2023 10:15 - 12.09.2023 10:30 (CET/CEST)','mFRR','Local','Up','130','0',''
NO1 SCA,'12.09.2023 10:15 - 12.09.2023 10:30 (CET/CEST)','mFRR','Local','Down','112','0',''
NO1 SCA,'12.09.2023 10:30 - 12.09.2023 10:45 (CET/CEST)','mFRR','Local','Up','130','0',''
NO1 SCA,'12.09.2023 10:30 - 12.09.2023 10:45 (CET/CEST)','mFRR','Local','Down','112','0',''
NO1 SCA,'12.09.2023 10:45 - 12.09.2023 11:00 (CET/CEST)','mFRR','Local','Up','130','0',''
NO1 SCA,'12.09.2023 10:45 - 12.09.2023 11:00 (CET/CEST)','mFRR','Local','Down','112','0',''
NO1 SCA,'12.09.2023 11:00 - 12.09.2023 11:15 (CET/CEST)','mFRR','Local','Up','136','0',''
NO1 SCA,'12.09.2023 11:00 - 12.09.2023 11:15 (CET/CEST)','mFRR','Local','Down','125','0',''
NO1 SCA,'12.09.2023 11:15 - 12.09.2023 11:30 (CET/CEST)','mFRR','Local','Up','136','0',''
NO1 SCA,'12.09.2023 11:15 - 12.09.2023 11:30 (CET/CEST)','mFRR','Local','Down','125','0',''
NO1 SCA,'12.09.2023 11:30 - 12.09.2023 11:45 (CET/CEST)','mFRR','Local','Up','136','0',''
NO1 SCA,'12.09.2023 11:30 - 12.09.2023 11:45 (CET/CEST)','mFRR','Local','Down','125','0',''
NO1 SCA,'12.09.2023 11:45 - 12.09.2023 12:00 (CET/CEST)','mFRR','Local','Up','136','0',''
NO1 SCA,'12.09.2023 11:45 - 12.09.2023 12:00 (CET/CEST)','mFRR','Local','Down','125','0',''
NO1 SCA,'12.09.2023 12:00 - 12.09.2023 12:15 (CET/CEST)','mFRR','Local','Up','129','0',''
NO1 SCA,'12.09.2023 12:00 - 12.09.2023 12:15 (CET/CEST)','mFRR','Local','Down','112','0',''
NO1 SCA,'12.09.2023 12:15 - 12.09.2023 12:30 (CET/CEST)','mFRR','Local','Up','129','0',''
NO1 SCA,'12.09.2023 12:15 - 12.09.2023 12:30 (CET/CEST)','mFRR','Local','Down','112','0',''
NO1 SCA,'12.09.2023 12:30 - 12.09.2023 12:45 (CET/CEST)','mFRR','Local','Up','129','0',''
NO1 SCA,'12.09.2023 12:30 - 12.09.2023 12:45 (CET/CEST)','mFRR','Local','Down','112','0',''
NO1 SCA,'12.09.2023 12:45 - 12.09.2023 13:00 (CET/CEST)','mFRR','Local','Up','129','0',''
