"ISP","Area","Reserve Type","Type of Product","Direction","Offered (MW)","Activated (MW)","Unavailable (MW)"
"01/01/2024 00:00:00","SCA|NO3","mFRR","Local","Up","1623.00","284.75"," "
"01/01/2024 00:00:00","SCA|NO3","mFRR","Local","Down","1632.00","0.00"," "
"01/01/2024 01:00:00","SCA|NO3","mFRR","Local","Up","1623.00","245.00"," "
"01/01/2024 01:00:00","SCA|NO3","mFRR","Local","Down","1618.00","0.00"," "
"01/01/2024 02:00:00","SCA|NO3","mFRR","Local","Up","1623.00","205.50"," "
"01/01/2024 02:00:00","SCA|NO3","mFRR","Local","Down","1618.00","0.00"," "
"01/01/2024 03:00:00","SCA|NO3","mFRR","Local","Up","1633.00","0.00"," "
"01/01/2024 03:00:00","SCA|NO3","mFRR","Local","Down","1609.00","0.00"," "
"01/01/2024 04:00:00","SCA|NO3","mFRR","Local","Up","1633.00","12.50"," "
"01/01/2024 04:00:00","SCA|NO3","mFRR","Local","Down","1603.00","0.00"," "
"01/01/2024 05:00:00","SCA|NO3","mFRR","Local","Up","2075.00","25.00"," "
"01/01/2024 05:00:00","SCA|NO3","mFRR","Local","Down","1614.00","0.00"," "
"01/01/2024 06:00:00","SCA|NO3","mFRR","Local","Up","2075.00","82.50"," "
"01/01/2024 06:00:00","SCA|NO3","mFRR","Local","Down","1598.00","0.00"," "
"01/01/2024 07:00:00","SCA|NO3","mFRR","Local","Up","2071.00","205.00"," "
"01/01/2024 07:00:00","SCA|NO3","mFRR","Local","Down","1616.00","0.00"," "
"01/01/2024 08:00:00","SCA|NO3","mFRR","Local","Up","2035.00","205.00"," "
"01/01/2024 08:00:00","SCA|NO3","mFRR","Local","Down","1635.00","0.00"," "
"01/01/2024 09:00:00","SCA|NO3","mFRR","Local","Up","1949.00","153.00"," "
"01/01/2024 09:00:00","SCA|NO3","mFRR","Local","Down","1655.00","0.00"," "
"01/01/2024 10:00:00","SCA|NO3","mFRR","Local","Up","1936.00","51.00"," "
"01/01/2024 10:00:00","SCA|NO3","mFRR","Local","Down","1655.00","0.00"," "
"01/01/2024 11:00:00","SCA|NO3","mFRR","Local","Up","1930.00","0.00"," "
"01/01/2024 11:00:00","SCA|NO3","mFRR","Local","Down","1647.00","0.00"," "
"01/01/2024 12:00:00","SCA|NO3","mFRR","Local","Up","1896.00","263.25"," "
"01/01/2024 12:00:00","SCA|NO3","mFRR","Local","Down","1668.00","0.00"," "
"01/01/2024 13:00:00","SCA|NO3","mFRR","Local","Up","1755.00","275.00"," "
"01/01/2024 13:00:00","SCA|NO3","mFRR","Local","Down","1722.00","0.00"," "
"01/01/2024 14:00:00","SCA|NO3","mFRR","Local","Up","1690.00","309.00"," "
"01/01/2024 14:00:00","SCA|NO3","mFRR","Local","Down","1759.00","0.00"," "
"01/01/2024 15:00:00","SCA|NO3","mFRR","Local","Up","1479.00","167.00"," "
"01/01/2024 15:00:00","SCA|NO3","mFRR","Local","Down","1943.00","0.00"," "
"01/01/2024 16:00:00","SCA|NO3","mFRR","Local","Up","1311.00","27.00"," "
"01/01/2024 16:00:00","SCA|NO3","mFRR","Local","Down","2080.00","0.00"," "
"01/01/2024 17:00:00","SCA|NO3","mFRR","Local","Up","1244.00","0.00"," "
"01/01/2024 17:00:00","SCA|NO3","mFRR","Local","Down","2120.00","0.00"," "
"01/01/2024 18:00:00","SCA|NO3","mFRR","Local","Up","1267.00","4.00"," "
"01/01/2024 18:00:00","SCA|NO3","mFRR","Local","Down","2099.00","0.00"," "
"01/01/2024 19:00:00","SCA|NO3","mFRR","Local","Up","1333.00","15.25"," "
"01/01/2024 19:00:00","SCA|NO3","mFRR","Local","Down","1997.00","0.00"," "
"01/01/2024 20:00:00","SCA|NO3","mFRR","Local","Up","1564.00","77.00"," "
"01/01/2024 20:00:00","SCA|NO3","mFRR","Local","Down","1794.00","0.00"," "
"01/01/2024 21:00:00","SCA|NO3","mFRR","Local","Up","1827.00","0.00"," "
"01/01/2024 21:00:00","SCA|NO3","mFRR","Local","Down","1670.00","83.00"," "
"01/01/2024 22:00:00","SCA|NO3","mFRR","Local","Up","1852.00","0.00"," "
"01/01/2024 22:00:00","SCA|NO3","mFRR","Local","Down","1629.00","45.00"," "
"01/01/2024 23:00:00","SCA|NO3","mFRR","Local","Up","1891.00","0.00"," "
"01/01/2024 23:00:00","SCA|NO3","mFRR","Local","Down","1608.00","14.50"," "
"02/01/2024 00:00:00","SCA|NO3","mFRR","Local","Up","1469.00","0.00"," "
"02/01/2024 00:00:00","SCA|NO3","mFRR","Local","Down","1692.00","21.00"," "
"02/01/2024 01:00:00","SCA|NO3","mFRR","Local","Up","1469.00","0.00"," "
"02/01/2024 01:00:00","SCA|NO3","mFRR","Local","Down","1698.00","21.00"," "
"02/01/2024 02:00:00","SCA|NO3","mFRR","Local","Up","1469.00","0.00"," "
"02/01/2024 02:00:00","SCA|NO3","mFRR","Local","Down","1636.00","21.00"," "
"02/01/2024 03:00:00","SCA|NO3","mFRR","Local","Up","1466.00","0.00"," "
"02/01/2024 03:00:00","SCA|NO3","mFRR","Local","Down","1640.00","21.00"," "
"02/01/2024 04:00:00","SCA|NO3","mFRR","Local","Up","1466.00","0.00"," "
"02/01/2024 04:00:00","SCA|NO3","mFRR","Local","Down","1651.00","21.00"," "
"02/01/2024 05:00:00","SCA|NO3","mFRR","Local","Up","1911.00","0.00"," "
"02/01/2024 05:00:00","SCA|NO3","mFRR","Local","Down","1652.00","21.00"," "
"02/01/2024 06:00:00","SCA|NO3","mFRR","Local","Up","1487.00","0.00"," "
"02/01/2024 06:00:00","SCA|NO3","mFRR","Local","Down","1909.00","67.00"," "
"02/01/2024 07:00:00","SCA|NO3","mFRR","Local","Up","1177.00","0.00"," "
"02/01/2024 07:00:00","SCA|NO3","mFRR","Local","Down","2232.00","0.00"," "
"02/01/2024 08:00:00","SCA|NO3","mFRR","Local","Up","1068.00","0.00"," "
"02/01/2024 08:00:00","SCA|NO3","mFRR","Local","Down","2320.00","0.00"," "
"02/01/2024 09:00:00","SCA|NO3","mFRR","Local","Up","981.00","0.00"," "
"02/01/2024 09:00:00","SCA|NO3","mFRR","Local","Down","2375.00","0.00"," "
"02/01/2024 10:00:00","SCA|NO3","mFRR","Local","Up","904.00","48.00"," "
"02/01/2024 10:00:00","SCA|NO3","mFRR","Local","Down","2489.00","0.00"," "
"02/01/2024 11:00:00","SCA|NO3","mFRR","Local","Up","770.75","37.75"," "
"02/01/2024 11:00:00","SCA|NO3","mFRR","Local","Down","2465.75","0.00"," "
"02/01/2024 12:00:00","SCA|NO3","mFRR","Local","Up","635.00","0.00"," "
"02/01/2024 12:00:00","SCA|NO3","mFRR","Local","Down","2575.00","0.00"," "
"02/01/2024 13:00:00","SCA|NO3","mFRR","Local","Up","653.00","20.00"," "
"02/01/2024 13:00:00","SCA|NO3","mFRR","Local","Down","2710.00","0.00"," "
"02/01/2024 14:00:00","SCA|NO3","mFRR","Local","Up","653.00","20.00"," "
"02/01/2024 14:00:00","SCA|NO3","mFRR","Local","Down","2718.00","0.00"," "
"02/01/2024 15:00:00","SCA|NO3","mFRR","Local","Up","639.00","0.00"," "
"02/01/2024 15:00:00","SCA|NO3","mFRR","Local","Down","2730.00","0.00"," "
"02/01/2024 16:00:00","SCA|NO3","mFRR","Local","Up","629.00","0.00"," "
"02/01/2024 16:00:00","SCA|NO3","mFRR","Local","Down","2766.00","0.00"," "
"02/01/2024 17:00:00","SCA|NO3","mFRR","Local","Up","638.00","0.00"," "
"02/01/2024 17:00:00","SCA|NO3","mFRR","Local","Down","2789.00","0.00"," "
"02/01/2024 18:00:00","SCA|NO3","mFRR","Local","Up","728.50","0.00"," "
"02/01/2024 18:00:00","SCA|NO3","mFRR","Local","Down","2551.25","0.00"," "
"02/01/2024 19:00:00","SCA|NO3","mFRR","Local","Up","1160.00","0.00"," "
"02/01/2024 19:00:00","SCA|NO3","mFRR","Local","Down","2303.00","0.00"," "
"02/01/2024 20:00:00","SCA|NO3","mFRR","Local","Up","1353.00","141.00"," "
"02/01/2024 20:00:00","SCA|NO3","mFRR","Local","Down","2078.00","0.00"," "
"02/01/2024 21:00:00","SCA|NO3","mFRR","Local","Up","1643.00","267.00"," "
"02/01/2024 21:00:00","SCA|NO3","mFRR","Local","Down","1785.00","0.00"," "
"02/01/2024 22:00:00","SCA|NO3","mFRR","Local","Up","1800.00","359.00"," "
"02/01/2024 22:00:00","SCA|NO3","mFRR","Local","Down","1695.00","0.00"," "
"02/01/2024 23:00:00","SCA|NO3","mFRR","Local","Up","1841.00","338.00"," "
"02/01/2024 23:00:00","SCA|NO3","mFRR","Local","Down","1667.00","0.00"," "
"03/01/2024 00:00:00","SCA|NO3","mFRR","Local","Up","1505.00","487.25"," "
"03/01/2024 00:00:00","SCA|NO3","mFRR","Local","Down","1691.00","0.00"," "
"03/01/2024 01:00:00","SCA|NO3","mFRR","Local","Up","1470.00","163.00"," "
"03/01/2024 01:00:00","SCA|NO3","mFRR","Local","Down","1704.00","0.00"," "
"03/01/2024 02:00:00","SCA|NO3","mFRR","Local","Up","1449.00","171.00"," "
"03/01/2024 02:00:00","SCA|NO3","mFRR","Local","Down","1718.00","0.00"," "
"03/01/2024 03:00:00","SCA|NO3","mFRR","Local","Up","1570.00","318.00"," "
"03/01/2024 03:00:00","SCA|NO3","mFRR","Local","Down","1631.00","0.00"," "
"03/01/2024 04:00:00","SCA|NO3","mFRR","Local","Up","1525.00","278.00"," "
"03/01/2024 04:00:00","SCA|NO3","mFRR","Local","Down","1674.00","0.00"," "
"03/01/2024 05:00:00","SCA|NO3","mFRR","Local","Up","1877.25","234.00"," "
"03/01/2024 05:00:00","SCA|NO3","mFRR","Local","Down","1754.50","0.00"," "
"03/01/2024 06:00:00","SCA|NO3","mFRR","Local","Up","1712.50","116.25"," "
"03/01/2024 06:00:00","SCA|NO3","mFRR","Local","Down","1931.50","0.00"," "
"03/01/2024 07:00:00","SCA|NO3","mFRR","Local","Up","1533.00","148.25"," "
"03/01/2024 07:00:00","SCA|NO3","mFRR","Local","Down","2014.00","0.00"," "
"03/01/2024 08:00:00","SCA|NO3","mFRR","Local","Up","1312.00","114.00"," "
"03/01/2024 08:00:00","SCA|NO3","mFRR","Local","Down","2165.00","0.00"," "
"03/01/2024 09:00:00","SCA|NO3","mFRR","Local","Up","1127.00","47.00"," "
"03/01/2024 09:00:00","SCA|NO3","mFRR","Local","Down","2242.00","0.00"," "
"03/01/2024 10:00:00","SCA|NO3","mFRR","Local","Up","1244.00","125.00"," "
"03/01/2024 10:00:00","SCA|NO3","mFRR","Local","Down","2193.00","0.00"," "
"03/01/2024 11:00:00","SCA|NO3","mFRR","Local","Up","1241.00","66.00"," "
"03/01/2024 11:00:00","SCA|NO3","mFRR","Local","Down","2177.00","0.00"," "
"03/01/2024 12:00:00","SCA|NO3","mFRR","Local","Up","1174.00","12.00"," "
"03/01/2024 12:00:00","SCA|NO3","mFRR","Local","Down","2173.00","0.00"," "
"03/01/2024 13:00:00","SCA|NO3","mFRR","Local","Up","1232.00","109.50"," "
"03/01/2024 13:00:00","SCA|NO3","mFRR","Local","Down","2124.00","0.00"," "
"03/01/2024 14:00:00","SCA|NO3","mFRR","Local","Up","1143.00","42.00"," "
"03/01/2024 14:00:00","SCA|NO3","mFRR","Local","Down","2158.00","0.00"," "
"03/01/2024 15:00:00","SCA|NO3","mFRR","Local","Up","900.00","40.75"," "
"03/01/2024 15:00:00","SCA|NO3","mFRR","Local","Down","2352.00","0.00"," "
"03/01/2024 16:00:00","SCA|NO3","mFRR","Local","Up","860.75","93.50"," "
"03/01/2024 16:00:00","SCA|NO3","mFRR","Local","Down","2410.00","0.00"," "
"03/01/2024 17:00:00","SCA|NO3","mFRR","Local","Up","734.00","61.75"," "
"03/01/2024 17:00:00","SCA|NO3","mFRR","Local","Down","2543.00","0.00"," "
"03/01/2024 18:00:00","SCA|NO3","mFRR","Local","Up","725.00","72.00"," "
"03/01/2024 18:00:00","SCA|NO3","mFRR","Local","Down","2544.00","0.00"," "
"03/01/2024 19:00:00","SCA|NO3","mFRR","Local","Up","736.00","93.50"," "
"03/01/2024 19:00:00","SCA|NO3","mFRR","Local","Down","2466.00","0.00"," "
"03/01/2024 20:00:00","SCA|NO3","mFRR","Local","Up","898.50","86.75"," "
"03/01/2024 20:00:00","SCA|NO3","mFRR","Local","Down","2320.50","0.00"," "
"03/01/2024 21:00:00","SCA|NO3","mFRR","Local","Up","1039.50","0.00"," "
"03/01/2024 21:00:00","SCA|NO3","mFRR","Local","Down","2207.00","0.00"," "
"03/01/2024 22:00:00","SCA|NO3","mFRR","Local","Up","1163.00","85.00"," "
"03/01/2024 22:00:00","SCA|NO3","mFRR","Local","Down","2102.00","0.00"," "
"03/01/2024 23:00:00","SCA|NO3","mFRR","Local","Up","1433.00","67.25"," "
"03/01/2024 23:00:00","SCA|NO3","mFRR","Local","Down","1927.00","0.00"," "
"04/01/2024 00:00:00","SCA|NO3","mFRR","Local","Up","1144.00","0.00"," "
"04/01/2024 00:00:00","SCA|NO3","mFRR","Local","Down","1860.00","0.00"," "
"04/01/2024 01:00:00","SCA|NO3","mFRR","Local","Up","1191.00","0.00"," "
"04/01/2024 01:00:00","SCA|NO3","mFRR","Local","Down","1837.00","0.00"," "
"04/01/2024 02:00:00","SCA|NO3","mFRR","Local","Up","1146.00","0.00"," "
"04/01/2024 02:00:00","SCA|NO3","mFRR","Local","Down","1862.00","0.00"," "
"04/01/2024 03:00:00","SCA|NO3","mFRR","Local","Up","1114.00","0.00"," "
"04/01/2024 03:00:00","SCA|NO3","mFRR","Local","Down","1875.00","0.00"," "
"04/01/2024 04:00:00","SCA|NO3","mFRR","Local","Up","1076.00","0.00"," "
"04/01/2024 04:00:00","SCA|NO3","mFRR","Local","Down","1891.00","7.50"," "
"04/01/2024 05:00:00","SCA|NO3","mFRR","Local","Up","1400.25","0.00"," "
"04/01/2024 05:00:00","SCA|NO3","mFRR","Local","Down","1879.50","19.00"," "
"04/01/2024 06:00:00","SCA|NO3","mFRR","Local","Up","942.00","0.00"," "
"04/01/2024 06:00:00","SCA|NO3","mFRR","Local","Down","2179.00","138.75"," "
"04/01/2024 07:00:00","SCA|NO3","mFRR","Local","Up","675.00","0.00"," "
"04/01/2024 07:00:00","SCA|NO3","mFRR","Local","Down","2403.00","20.50"," "
"04/01/2024 08:00:00","SCA|NO3","mFRR","Local","Up","675.00","0.00"," "
"04/01/2024 08:00:00","SCA|NO3","mFRR","Local","Down","2387.00","0.00"," "
"04/01/2024 09:00:00","SCA|NO3","mFRR","Local","Up","666.00","0.00"," "
"04/01/2024 09:00:00","SCA|NO3","mFRR","Local","Down","2384.00","61.00"," "
"04/01/2024 10:00:00","SCA|NO3","mFRR","Local","Up","614.00","0.00"," "
"04/01/2024 10:00:00","SCA|NO3","mFRR","Local","Down","2349.00","0.00"," "
"04/01/2024 11:00:00","SCA|NO3","mFRR","Local","Up","630.00","9.00"," "
"04/01/2024 11:00:00","SCA|NO3","mFRR","Local","Down","2354.00","0.00"," "
"04/01/2024 12:00:00","SCA|NO3","mFRR","Local","Up","640.00","0.00"," "
"04/01/2024 12:00:00","SCA|NO3","mFRR","Local","Down","2219.00","5.00"," "
"04/01/2024 13:00:00","SCA|NO3","mFRR","Local","Up","588.00","0.00"," "
"04/01/2024 13:00:00","SCA|NO3","mFRR","Local","Down","2175.00","10.00"," "
"04/01/2024 14:00:00","SCA|NO3","mFRR","Local","Up","573.00","0.00"," "
"04/01/2024 14:00:00","SCA|NO3","mFRR","Local","Down","2257.00","0.00"," "
"04/01/2024 15:00:00","SCA|NO3","mFRR","Local","Up","563.00","0.00"," "
"04/01/2024 15:00:00","SCA|NO3","mFRR","Local","Down","2258.00","0.00"," "
"04/01/2024 16:00:00","SCA|NO3","mFRR","Local","Up","556.00","0.00"," "
"04/01/2024 16:00:00","SCA|NO3","mFRR","Local","Down","2214.00","0.00"," "
"04/01/2024 17:00:00","SCA|NO3","mFRR","Local","Up","550.00","0.00"," "
"04/01/2024 17:00:00","SCA|NO3","mFRR","Local","Down","2166.00","26.25"," "
"04/01/2024 18:00:00","SCA|NO3","mFRR","Local","Up","549.00","0.00"," "
