"ISP","Area","Reserve Type","Type of Product","Direction","Offered (MW)","Activated (MW)","Unavailable (MW)"
"12/09/2023 00:00:00","SCA|NO3","mFRR","Local","Up","1362.00","0.00"," "
"12/09/2023 00:00:00","SCA|NO3","mFRR","Local","Down","1287.00","229.50"," "
"12/09/2023 01:00:00","SCA|NO3","mFRR","Local","Up","1402.00","0.00"," "
"12/09/2023 01:00:00","SCA|NO3","mFRR","Local","Down","1091.00","0.00"," "
"12/09/2023 02:00:00","SCA|NO3","mFRR","Local","Up","1368.00","0.00"," "
"12/09/2023 02:00:00","SCA|NO3","mFRR","Local","Down","988.00","0.00"," "
"12/09/2023 03:00:00","SCA|NO3","mFRR","Local","Up","1346.00","69.00"," "
"12/09/2023 03:00:00","SCA|NO3","mFRR","Local","Down","971.00","0.00"," "
"12/09/2023 04:00:00","SCA|NO3","mFRR","Local","Up","1318.00","19.25"," "
"12/09/2023 04:00:00","SCA|NO3","mFRR","Local","Down","972.00","0.00"," "
"12/09/2023 05:00:00","SCA|NO3","mFRR","Local","Up","1206.00","0.00"," "
"12/09/2023 05:00:00","SCA|NO3","mFRR","Local","Down","992.00","0.00"," "
"12/09/2023 06:00:00","SCA|NO3","mFRR","Local","Up","1062.00","92.25"," "
"12/09/2023 06:00:00","SCA|NO3","mFRR","Local","Down","1016.00","0.00"," "
"12/09/2023 07:00:00","SCA|NO3","mFRR","Local","Up","778.00","245.00"," "
"12/09/2023 07:00:00","SCA|NO3","mFRR","Local","Down","1073.75","0.00"," "
"12/09/2023 08:00:00","SCA|NO3","mFRR","Local","Up","617.00","34.50"," "
"12/09/2023 08:00:00","SCA|NO3","mFRR","Local","Down","1161.00","0.00"," "
"12/09/2023 09:00:00","SCA|NO3","mFRR","Local","Up","611.00","138.00"," "
"12/09/2023 09:00:00","SCA|NO3","mFRR","Local","Down","1047.00","0.00"," "
"12/09/2023 10:00:00","SCA|NO3","mFRR","Local","Up","610.00","212.00"," "
"12/09/2023 10:00:00","SCA|NO3","mFRR","Local","Down","1084.00","0.00"," "
"12/09/2023 11:00:00","SCA|NO3","mFRR","Local","Up","613.00","285.00"," "
"12/09/2023 11:00:00","SCA|NO3","mFRR","Local","Down","1095.00","0.00"," "
"12/09/2023 12:00:00","SCA|NO3","mFRR","Local","Up","622.00","177.75"," "
"12/09/2023 12:00:00","SCA|NO3","mFRR","Local","Down","1080.00","0.00"," "
"12/09/2023 13:00:00","SCA|NO3","mFRR","Local","Up","659.00","265.00"," "
"12/09/2023 13:00:00","SCA|NO3","mFRR","Local","Down","1099.00","0.00"," "
"12/09/2023 14:00:00","SCA|NO3","mFRR","Local","Up","497.00","180.00"," "
"12/09/2023 14:00:00","SCA|NO3","mFRR","Local","Down","1226.00","0.00"," "
"12/09/2023 15:00:00","SCA|NO3","mFRR","Local","Up","478.00","172.00"," "
"12/09/2023 15:00:00","SCA|NO3","mFRR","Local","Down","1187.00","0.00"," "
"12/09/2023 16:00:00","SCA|NO3","mFRR","Local","Up","499.00","105.50"," "
"12/09/2023 16:00:00","SCA|NO3","mFRR","Local","Down","1283.00","0.00"," "
"12/09/2023 17:00:00","SCA|NO3","mFRR","Local","Up","634.00","0.00"," "
"12/09/2023 17:00:00","SCA|NO3","mFRR","Local","Down","1319.00","0.00"," "
"12/09/2023 18:00:00","SCA|NO3","mFRR","Local","Up","687.00","0.00"," "
"12/09/2023 18:00:00","SCA|NO3","mFRR","Local","Down","1461.00","0.00"," "
"12/09/2023 19:00:00","SCA|NO3","mFRR","Local","Up","675.00","0.00"," "
"12/09/2023 19:00:00","SCA|NO3","mFRR","Local","Down","1568.00","0.00"," "
"12/09/2023 20:00:00","SCA|NO3","mFRR","Local","Up","681.00","122.00"," "
"12/09/2023 20:00:00","SCA|NO3","mFRR","Local","Down","1692.00","0.00"," "
"12/09/2023 21:00:00","SCA|NO3","mFRR","Local","Up","713.00","0.00"," "
"12/09/2023 21:00:00","SCA|NO3","mFRR","Local","Down","1765.00","0.00"," "
"12/09/2023 22:00:00","SCA|NO3","mFRR","Local","Up","760.00","0.00"," "
"12/09/2023 22:00:00","SCA|NO3","mFRR","Local","Down","1707.00","0.00"," "
"12/09/2023 23:00:00","SCA|NO3","mFRR","Local","Up","813.00","0.00"," "
"12/09/2023 23:00:00","SCA|NO3","mFRR","Local","Down","1651.00","48.75"," "
"13/09/2023 00:00:00","SCA|NO3","mFRR","Local","Up","980.00","0.00"," "
"13/09/2023 00:00:00","SCA|NO3","mFRR","Local","Down","1559.00","51.00"," "
"13/09/2023 01:00:00","SCA|NO3","mFRR","Local","Up","1087.00","0.00"," "
"13/09/2023 01:00:00","SCA|NO3","mFRR","Local","Down","1552.00","0.00"," "
"13/09/2023 02:00:00","SCA|NO3","mFRR","Local","Up","1061.00","36.50"," "
"13/09/2023 02:00:00","SCA|NO3","mFRR","Local","Down","1581.00","0.00"," "
"13/09/2023 03:00:00","SCA|NO3","mFRR","Local","Up","1076.00","102.00"," "
"13/09/2023 03:00:00","SCA|NO3","mFRR","Local","Down","1613.00","0.00"," "
"13/09/2023 04:00:00","SCA|NO3","mFRR","Local","Up","1072.00","49.00"," "
"13/09/2023 04:00:00","SCA|NO3","mFRR","Local","Down","1648.00","0.00"," "
"13/09/2023 05:00:00","SCA|NO3","mFRR","Local","Up","961.00","0.00"," "
"13/09/2023 05:00:00","SCA|NO3","mFRR","Local","Down","1643.00","224.00"," "
"13/09/2023 06:00:00","SCA|NO3","mFRR","Local","Up","824.50","0.00"," "
"13/09/2023 06:00:00","SCA|NO3","mFRR","Local","Down","1663.00","167.50"," "
"13/09/2023 07:00:00","SCA|NO3","mFRR","Local","Up","673.00","0.00"," "
"13/09/2023 07:00:00","SCA|NO3","mFRR","Local","Down","1515.50","48.75"," "
"13/09/2023 08:00:00","SCA|NO3","mFRR","Local","Up","519.00","0.00"," "
"13/09/2023 08:00:00","SCA|NO3","mFRR","Local","Down","1417.00","107.00"," "
"13/09/2023 09:00:00","SCA|NO3","mFRR","Local","Up","513.00","97.50"," "
"13/09/2023 09:00:00","SCA|NO3","mFRR","Local","Down","1261.00","0.00"," "
"13/09/2023 10:00:00","SCA|NO3","mFRR","Local","Up","503.00","177.25"," "
"13/09/2023 10:00:00","SCA|NO3","mFRR","Local","Down","1099.00","0.00"," "
"13/09/2023 11:00:00","SCA|NO3","mFRR","Local","Up","465.00","0.00"," "
"13/09/2023 11:00:00","SCA|NO3","mFRR","Local","Down","1039.00","0.00"," "
"13/09/2023 12:00:00","SCA|NO3","mFRR","Local","Up","607.00","178.00"," "
"13/09/2023 12:00:00","SCA|NO3","mFRR","Local","Down","977.00","0.00"," "
"13/09/2023 13:00:00","SCA|NO3","mFRR","Local","Up","616.00","187.00"," "
"13/09/2023 13:00:00","SCA|NO3","mFRR","Local","Down","939.00","0.00"," "
"13/09/2023 14:00:00","SCA|NO3","mFRR","Local","Up","595.00","72.25"," "
"13/09/2023 14:00:00","SCA|NO3","mFRR","Local","Down","947.00","0.00"," "
"13/09/2023 15:00:00","SCA|NO3","mFRR","Local","Up","585.00","117.00"," "
"13/09/2023 15:00:00","SCA|NO3","mFRR","Local","Down","990.00","0.00"," "
"13/09/2023 16:00:00","SCA|NO3","mFRR","Local","Up","589.00","160.00"," "
"13/09/2023 16:00:00","SCA|NO3","mFRR","Local","Down","907.00","0.00"," "
"13/09/2023 17:00:00","SCA|NO3","mFRR","Local","Up","585.00","53.50"," "
"13/09/2023 17:00:00","SCA|NO3","mFRR","Local","Down","868.00","0.00"," "
"13/09/2023 18:00:00","SCA|NO3","mFRR","Local","Up","640.00","0.00"," "
"13/09/2023 18:00:00","SCA|NO3","mFRR","Local","Down","892.00","27.00"," "
"13/09/2023 19:00:00","SCA|NO3","mFRR","Local","Up","640.00","0.00"," "
"13/09/2023 19:00:00","SCA|NO3","mFRR","Local","Down","841.00","107.00"," "
"13/09/2023 20:00:00","SCA|NO3","mFRR","Local","Up","643.00","0.00"," "
"13/09/2023 20:00:00","SCA|NO3","mFRR","Local","Down","817.00","220.25"," "
"13/09/2023 21:00:00","SCA|NO3","mFRR","Local","Up","726.00","0.00"," "
"13/09/2023 21:00:00","SCA|NO3","mFRR","Local","Down","790.00","247.00"," "
"13/09/2023 22:00:00","SCA|NO3","mFRR","Local","Up","746.00","0.00"," "
"13/09/2023 22:00:00","SCA|NO3","mFRR","Local","Down","743.00","216.25"," "
"13/09/2023 23:00:00","SCA|NO3","mFRR","Local","Up","800.50","0.00"," "
"13/09/2023 23:00:00","SCA|NO3","mFRR","Local","Down","621.00","197.50"," "
"14/09/2023 00:00:00","SCA|NO3","mFRR","Local","Up","865.00","0.00"," "
"14/09/2023 00:00:00","SCA|NO3","mFRR","Local","Down","583.00","184.00"," "
"14/09/2023 01:00:00","SCA|NO3","mFRR","Local","Up","987.25","0.00"," "
