"ISP","Area","Reserve Type","Type of Product","Direction","Offered (MW)","Activated (MW)","Unavailable (MW)"
"01/01/2024 00:00:00","SCA|NO1","mFRR","Local","Up","683.00","75.00"," "
"01/01/2024 00:00:00","SCA|NO1","mFRR","Local","Down","0.00","0.00"," "
"01/01/2024 01:00:00","SCA|NO1","mFRR","Local","Up","869.00","0.00"," "
"01/01/2024 01:00:00","SCA|NO1","mFRR","Local","Down","0.00","0.00"," "
"01/01/2024 02:00:00","SCA|NO1","mFRR","Local","Up","869.00","0.00"," "
"01/01/2024 02:00:00","SCA|NO1","mFRR","Local","Down","0.00","0.00"," "
"01/01/2024 03:00:00","SCA|NO1","mFRR","Local","Up","869.00","0.00"," "
"01/01/2024 03:00:00","SCA|NO1","mFRR","Local","Down","0.00","0.00"," "
"01/01/2024 04:00:00","SCA|NO1","mFRR","Local","Up","869.00","0.00"," "
"01/01/2024 04:00:00","SCA|NO1","mFRR","Local","Down","0.00","0.00"," "
"01/01/2024 05:00:00","SCA|NO1","mFRR","Local","Up","650.00","0.00"," "
"01/01/2024 05:00:00","SCA|NO1","mFRR","Local","Down","0.00","0.00"," "
"01/01/2024 06:00:00","SCA|NO1","mFRR","Local","Up","539.00","0.00"," "
"01/01/2024 06:00:00","SCA|NO1","mFRR","Local","Down","0.00","0.00"," "
"01/01/2024 07:00:00","SCA|NO1","mFRR","Local","Up","527.00","0.00"," "
"01/01/2024 07:00:00","SCA|NO1","mFRR","Local","Down","0.00","0.00"," "
"01/01/2024 08:00:00","SCA|NO1","mFRR","Local","Up","584.00","0.00"," "
"01/01/2024 08:00:00","SCA|NO1","mFRR","Local","Down","0.00","0.00"," "
"01/01/2024 09:00:00","SCA|NO1","mFRR","Local","Up","740.00","0.00"," "
"01/01/2024 09:00:00","SCA|NO1","mFRR","Local","Down","0.00","0.00"," "
"01/01/2024 10:00:00","SCA|NO1","mFRR","Local","Up","710.00","0.00"," "
"01/01/2024 10:00:00","SCA|NO1","mFRR","Local","Down","0.00","0.00"," "
"01/01/2024 11:00:00","SCA|NO1","mFRR","Local","Up","789.00","0.00"," "
"01/01/2024 11:00:00","SCA|NO1","mFRR","Local","Down","0.00","0.00"," "
"01/01/2024 12:00:00","SCA|NO1","mFRR","Local","Up","734.00","43.50"," "
"01/01/2024 12:00:00","SCA|NO1","mFRR","Local","Down","0.00","0.00"," "
"01/01/2024 13:00:00","SCA|NO1","mFRR","Local","Up","753.00","58.00"," "
"01/01/2024 13:00:00","SCA|NO1","mFRR","Local","Down","0.00","0.00"," "
"01/01/2024 14:00:00","SCA|NO1","mFRR","Local","Up","763.00","0.00"," "
"01/01/2024 14:00:00","SCA|NO1","mFRR","Local","Down","0.00","0.00"," "
"01/01/2024 15:00:00","SCA|NO1","mFRR","Local","Up","610.00","0.00"," "
"01/01/2024 15:00:00","SCA|NO1","mFRR","Local","Down","14.00","0.00"," "
"01/01/2024 16:00:00","SCA|NO1","mFRR","Local","Up","621.00","0.00"," "
"01/01/2024 16:00:00","SCA|NO1","mFRR","Local","Down","14.00","0.00"," "
