"ISP","Area","Reserve Type","Type of Product","Direction","Offered (MW)","Activated (MW)","Unavailable (MW)"
"12/09/2023 00:00:00","SCA|NO1","mFRR","Local","Up","465.00","0.00"," "
"12/09/2023 00:00:00","SCA|NO1","mFRR","Local","Down","30.00","0.00"," "
"12/09/2023 01:00:00","SCA|NO1","mFRR","Local","Up","470.00","0.00"," "
"12/09/2023 01:00:00","SCA|NO1","mFRR","Local","Down","41.00","0.00"," "
"12/09/2023 02:00:00","SCA|NO1","mFRR","Local","Up","459.00","0.00"," "
"12/09/2023 02:00:00","SCA|NO1","mFRR","Local","Down","41.00","0.00"," "
"12/09/2023 03:00:00","SCA|NO1","mFRR","Local","Up","477.00","99.00"," "
"12/09/2023 03:00:00","SCA|NO1","mFRR","Local","Down","30.00","0.00"," "
"12/09/2023 04:00:00","SCA|NO1","mFRR","Local","Up","464.00","35.25"," "
"12/09/2023 04:00:00","SCA|NO1","mFRR","Local","Down","30.00","0.00"," "
"12/09/2023 05:00:00","SCA|NO1","mFRR","Local","Up","428.00","0.00"," "
"12/09/2023 05:00:00","SCA|NO1","mFRR","Local","Down","30.00","0.00"," "
"12/09/2023 06:00:00","SCA|NO1","mFRR","Local","Up","316.00","63.75"," "
"12/09/2023 06:00:00","SCA|NO1","mFRR","Local","Down","52.00","0.00"," "
"12/09/2023 07:00:00","SCA|NO1","mFRR","Local","Up","175.00","0.00"," "
"12/09/2023 07:00:00","SCA|NO1","mFRR","Local","Down","117.00","0.00"," "
"12/09/2023 08:00:00","SCA|NO1","mFRR","Local","Up","146.00","0.00"," "
"12/09/2023 08:00:00","SCA|NO1","mFRR","Local","Down","99.00","34.50"," "
"12/09/2023 09:00:00","SCA|NO1","mFRR","Local","Up","131.00","0.00"," "
"12/09/2023 09:00:00","SCA|NO1","mFRR","Local","Down","125.00","0.00"," "
"12/09/2023 10:00:00","SCA|NO1","mFRR","Local","Up","130.00","0.00"," "
"12/09/2023 10:00:00","SCA|NO1","mFRR","Local","Down","112.00","0.00"," "
