"ISP","Area","Reserve Type","Type of Product","Direction","Offered (MW)","Activated (MW)","Unavailable (MW)"
"12/09/2023 00:00:00","SCA|NO2","mFRR","Local","Up","1522.00","0.00"," "
"12/09/2023 00:00:00","SCA|NO2","mFRR","Local","Down","2301.00","0.00"," "
"12/09/2023 01:00:00","SCA|NO2","mFRR","Local","Up","1733.00","0.00"," "
"12/09/2023 01:00:00","SCA|NO2","mFRR","Local","Down","2262.50","0.00"," "
"12/09/2023 02:00:00","SCA|NO2","mFRR","Local","Up","1751.00","0.00"," "
"12/09/2023 02:00:00","SCA|NO2","mFRR","Local","Down","2244.00","0.00"," "
"12/09/2023 03:00:00","SCA|NO2","mFRR","Local","Up","1765.00","0.00"," "
"12/09/2023 03:00:00","SCA|NO2","mFRR","Local","Down","2221.00","0.00"," "
"12/09/2023 04:00:00","SCA|NO2","mFRR","Local","Up","1752.00","0.00"," "
"12/09/2023 04:00:00","SCA|NO2","mFRR","Local","Down","2193.00","0.00"," "
"12/09/2023 05:00:00","SCA|NO2","mFRR","Local","Up","1785.00","0.00"," "
"12/09/2023 05:00:00","SCA|NO2","mFRR","Local","Down","2186.00","0.00"," "
"12/09/2023 06:00:00","SCA|NO2","mFRR","Local","Up","1495.00","0.00"," "
"12/09/2023 06:00:00","SCA|NO2","mFRR","Local","Down","2409.50","0.00"," "
"12/09/2023 07:00:00","SCA|NO2","mFRR","Local","Up","1155.00","51.50"," "
"12/09/2023 07:00:00","SCA|NO2","mFRR","Local","Down","2701.50","0.00"," "
"12/09/2023 08:00:00","SCA|NO2","mFRR","Local","Up","1015.00","35.00"," "
"12/09/2023 08:00:00","SCA|NO2","mFRR","Local","Down","2818.00","0.00"," "
"12/09/2023 09:00:00","SCA|NO2","mFRR","Local","Up","977.00","0.00"," "
"12/09/2023 09:00:00","SCA|NO2","mFRR","Local","Down","2852.00","0.00"," "
"12/09/2023 10:00:00","SCA|NO2","mFRR","Local","Up","989.00","0.00"," "
"12/09/2023 10:00:00","SCA|NO2","mFRR","Local","Down","2847.00","0.00"," "
"12/09/2023 11:00:00","SCA|NO2","mFRR","Local","Up","1017.00","0.00"," "
"12/09/2023 11:00:00","SCA|NO2","mFRR","Local","Down","2808.00","0.00"," "
"12/09/2023 12:00:00","SCA|NO2","mFRR","Local","Up","967.00","0.00"," "
"12/09/2023 12:00:00","SCA|NO2","mFRR","Local","Down","2801.00","0.00"," "
"12/09/2023 13:00:00","SCA|NO2","mFRR","Local","Up","1039.00","0.00"," "
"12/09/2023 13:00:00","SCA|NO2","mFRR","Local","Down","2728.00","0.00"," "
"12/09/2023 14:00:00","SCA|NO2","mFRR","Local","Up","985.00","0.00"," "
"12/09/2023 14:00:00","SCA|NO2","mFRR","Local","Down","2721.00","0.00"," "
"12/09/2023 15:00:00","SCA|NO2","mFRR","Local","Up","1134.00","0.00"," "
"12/09/2023 15:00:00","SCA|NO2","mFRR","Local","Down","2627.50","0.00"," "
"12/09/2023 16:00:00","SCA|NO2","mFRR","Local","Up","1185.00","0.00"," "
"12/09/2023 16:00:00","SCA|NO2","mFRR","Local","Down","2590.00","0.00"," "
"12/09/2023 17:00:00","SCA|NO2","mFRR","Local","Up","1250.00","0.00"," "
"12/09/2023 17:00:00","SCA|NO2","mFRR","Local","Down","2459.00","0.00"," "
"12/09/2023 18:00:00","SCA|NO2","mFRR","Local","Up","1316.00","0.00"," "
"12/09/2023 18:00:00","SCA|NO2","mFRR","Local","Down","2349.00","0.00"," "
"12/09/2023 19:00:00","SCA|NO2","mFRR","Local","Up","1411.00","0.00"," "
"12/09/2023 19:00:00","SCA|NO2","mFRR","Local","Down","2325.00","0.00"," "
"12/09/2023 20:00:00","SCA|NO2","mFRR","Local","Up","1663.00","0.00"," "
"12/09/2023 20:00:00","SCA|NO2","mFRR","Local","Down","2204.00","0.00"," "
"12/09/2023 21:00:00","SCA|NO2","mFRR","Local","Up","1663.00","0.00"," "
"12/09/2023 21:00:00","SCA|NO2","mFRR","Local","Down","2167.00","0.00"," "
