"ISP","Area","Reserve Type","Type of Product","Direction","Offered (MW)","Activated (MW)","Unavailable (MW)"
"02/01/2024 06:00:00","SCA|NO2","mFRR","Local","Down","1024.00","0.00"," "
"02/01/2024 07:00:00","SCA|NO2","mFRR","Local","Up","4811.50","0.00"," "
"02/01/2024 07:00:00","SCA|NO2","mFRR","Local","Down","1944.00","0.00"," "
"02/01/2024 08:00:00","SCA|NO2","mFRR","Local","Up","3312.75","0.00"," "
"02/01/2024 08:00:00","SCA|NO2","mFRR","Local","Down","3128.25","0.00"," "
"02/01/2024 09:00:00","SCA|NO2","mFRR","Local","Up","2840.75","286.50"," "
"02/01/2024 09:00:00","SCA|NO2","mFRR","Local","Down","3984.00","0.00"," "
"02/01/2024 10:00:00","SCA|NO2","mFRR","Local","Up","2057.25","219.00"," "
"02/01/2024 10:00:00","SCA|NO2","mFRR","Local","Down","4641.00","0.00"," "
"02/01/2024 11:00:00","SCA|NO2","mFRR","Local","Up","1632.50","92.00"," "
"02/01/2024 11:00:00","SCA|NO2","mFRR","Local","Down","4906.00","0.00"," "
"02/01/2024 12:00:00","SCA|NO2","mFRR","Local","Up","1309.75","123.75"," "
"02/01/2024 12:00:00","SCA|NO2","mFRR","Local","Down","5173.00","0.00"," "
"02/01/2024 13:00:00","SCA|NO2","mFRR","Local","Up","1070.00","66.75"," "
"02/01/2024 13:00:00","SCA|NO2","mFRR","Local","Down","5078.00","0.00"," "
"02/01/2024 14:00:00","SCA|NO2","mFRR","Local","Up","1058.00","10.00"," "
"02/01/2024 14:00:00","SCA|NO2","mFRR","Local","Down","5091.00","0.00"," "
"02/01/2024 15:00:00","SCA|NO2","mFRR","Local","Up","1134.00","10.50"," "
"02/01/2024 15:00:00","SCA|NO2","mFRR","Local","Down","5045.00","0.00"," "
"02/01/2024 16:00:00","SCA|NO2","mFRR","Local","Up","1041.50","0.00"," "
"02/01/2024 16:00:00","SCA|NO2","mFRR","Local","Down","5024.75","0.00"," "
"02/01/2024 17:00:00","SCA|NO2","mFRR","Local","Up","1125.75","6.00"," "
"02/01/2024 17:00:00","SCA|NO2","mFRR","Local","Down","4954.50","0.00"," "
"02/01/2024 18:00:00","SCA|NO2","mFRR","Local","Up","1560.25","6.75"," "
"02/01/2024 18:00:00","SCA|NO2","mFRR","Local","Down","4562.50","0.00"," "
"02/01/2024 19:00:00","SCA|NO2","mFRR","Local","Up","2834.25","0.00"," "
"02/01/2024 19:00:00","SCA|NO2","mFRR","Local","Down","3717.50","0.00"," "
"02/01/2024 20:00:00","SCA|NO2","mFRR","Local","Up","3548.50","0.00"," "
"02/01/2024 20:00:00","SCA|NO2","mFRR","Local","Down","3180.25","0.00"," "
"02/01/2024 21:00:00","SCA|NO2","mFRR","Local","Up","4365.00","12.00"," "
"02/01/2024 21:00:00","SCA|NO2","mFRR","Local","Down","2640.00","0.00"," "
"02/01/2024 22:00:00","SCA|NO2","mFRR","Local","Up","4993.00","238.50"," "
