ISP (CET/CEST),Area,Reserve Type,Source,Type of Product,Price Type,Price Up (EUR/MWh),Price Down (EUR/MWh)
02/01/2024 15:00:00 - 02/01/2024 16:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,88.0,79.96
02/01/2024 16:00:00 - 02/01/2024 17:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,88.0,81.46
02/01/2024 17:00:00 - 02/01/2024 18:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,88.08,80.92
02/01/2024 18:00:00 - 02/01/2024 19:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,80.11,74.95
02/01/2024 19:00:00 - 02/01/2024 20:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,66.77,66.77
02/01/2024 20:00:00 - 02/01/2024 21:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,70.0,64.92
02/01/2024 21:00:00 - 02/01/2024 22:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,70.0,64.43
02/01/2024 22:00:00 - 02/01/2024 23:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,72.5,62.61
02/01/2024 23:00:00 - 03/01/2024 00:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,69.0,59.16
03/01/2024 00:00:00 - 03/01/2024 01:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,67.0,58.0
03/01/2024 01:00:00 - 03/01/2024 02:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,58.39,58.39
03/01/2024 02:00:00 - 03/01/2024 03:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,59.0,58.41
03/01/2024 03:00:00 - 03/01/2024 04:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,59.0,55.84
03/01/2024 04:00:00 - 03/01/2024 05:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,59.0,54.53
03/01/2024 05:00:00 - 03/01/2024 06:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,59.0,58.41
03/01/2024 06:00:00 - 03/01/2024 07:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,62.7,62.7
03/01/2024 07:00:00 - 03/01/2024 08:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,74.0,64.81
03/01/2024 08:00:00 - 03/01/2024 09:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,74.0,65.6
03/01/2024 09:00:00 - 03/01/2024 10:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,74.0,65.94
03/01/2024 10:00:00 - 03/01/2024 11:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,74.0,66.42
03/01/2024 11:00:00 - 03/01/2024 12:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,74.0,65.93
03/01/2024 12:00:00 - 03/01/2024 13:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,66.4,65.6
03/01/2024 13:00:00 - 03/01/2024 14:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,71.0,65.43
03/01/2024 14:00:00 - 03/01/2024 15:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,73.0,65.76
03/01/2024 15:00:00 - 03/01/2024 16:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,78.0,69.38
03/01/2024 16:00:00 - 03/01/2024 17:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,84.0,73.59
03/01/2024 17:00:00 - 03/01/2024 18:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,91.0,82.28
03/01/2024 18:00:00 - 03/01/2024 19:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,91.0,82.97
03/01/2024 19:00:00 - 03/01/2024 20:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,91.0,79.03
03/01/2024 20:00:00 - 03/01/2024 21:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,85.0,73.23
03/01/2024 21:00:00 - 03/01/2024 22:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,69.2,69.2
03/01/2024 22:00:00 - 03/01/2024 23:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,75.0,65.42
03/01/2024 23:00:00 - 04/01/2024 00:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,73.78,63.79
04/01/2024 00:00:00 - 04/01/2024 01:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,64.03,64.03
04/01/2024 01:00:00 - 04/01/2024 02:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,63.13,63.13
04/01/2024 02:00:00 - 04/01/2024 03:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,62.61,62.61
04/01/2024 03:00:00 - 04/01/2024 04:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,62.41,62.41
04/01/2024 04:00:00 - 04/01/2024 05:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,62.08,54.0
04/01/2024 05:00:00 - 04/01/2024 06:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,64.47,53.65
04/01/2024 06:00:00 - 04/01/2024 07:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,72.65,58.0
04/01/2024 07:00:00 - 04/01/2024 08:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,92.0,70.5
