ISP (CET/CEST),Area,Reserve Type,Source,Type of Product,Price Type,Price Up (EUR/MWh),Price Down (EUR/MWh)
01/01/2024 00:00:00 - 01/01/2024 01:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,55.0,29.56
01/01/2024 01:00:00 - 01/01/2024 02:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,53.87,28.46
01/01/2024 02:00:00 - 01/01/2024 03:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,53.87,26.66
01/01/2024 03:00:00 - 01/01/2024 04:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,24.48,24.48
01/01/2024 04:00:00 - 01/01/2024 05:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,36.0,24.01
01/01/2024 05:00:00 - 01/01/2024 06:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,36.0,21.23
01/01/2024 06:00:00 - 01/01/2024 07:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,40.11,22.62
01/01/2024 07:00:00 - 01/01/2024 08:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,44.0,25.04
01/01/2024 08:00:00 - 01/01/2024 09:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,44.0,26.24
01/01/2024 09:00:00 - 01/01/2024 10:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,44.0,32.21
01/01/2024 10:00:00 - 01/01/2024 11:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,48.0,41.34
01/01/2024 11:00:00 - 01/01/2024 12:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,43.51,43.51
01/01/2024 12:00:00 - 01/01/2024 13:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,60.0,43.02
01/01/2024 13:00:00 - 01/01/2024 14:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,60.0,44.29
01/01/2024 14:00:00 - 01/01/2024 15:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,71.0,46.24
01/01/2024 15:00:00 - 01/01/2024 16:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,71.0,50.61
01/01/2024 16:00:00 - 01/01/2024 17:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,71.0,59.47
01/01/2024 17:00:00 - 01/01/2024 18:00:00,SCA|NO3,mFRR,Not Specified,Not Specified,MARGINAL,73.0,64.99
